,Course Code,Course Title,HEI,R1 Points 2021,R2 Points 2021,R1 Points 2020,R2 Points 2020,R1 Points 2019
151,CR055,Environmental Engineering,Cork Institute of Technology,297,,,,
152,CR061,Electronic Engineering,Cork Institute of Technology,300,,,,
153,CR062,Electrical Engineering,Cork Institute of Technology,320,,,,
154,CR071,Mechanical Engineering,Cork Institute of Technology,263,,,,
155,CR075,Biomedical Engineering,Cork Institute of Technology,315,,,,
156,CR090,Architectural Technology,Cork Institute of Technology,308,,,,
157,CR094,Nautical Science at National Maritime College of Ireland,Cork Institute of Technology,256,,,,
158,CR095,Marine Engineering at National Maritime College of Ireland,Cork Institute of Technology,234,,,,
159,CR105,Chemical and Biopharmaceutical Engineering,Cork Institute of Technology,443,,,,
160,CR106,Software Development,Cork Institute of Technology,431,,,,
161,CR108,Mechanical Engineering,Cork Institute of Technology,434,,,,
162,CR109,Structural Engineering,Cork Institute of Technology,396,,,,
163,CR110,Automotive Business Management and Technology,Cork Institute of Technology,336,,,,
164,CR112,Creative Digital Media at CIT Crawford College of Art and Design,Cork Institute of Technology,390,,,,
165,CR116,Computer Systems,Cork Institute of Technology,365,,,,
166,CR121,Music at CIT Cork School of Music,Cork Institute of Technology,904,904,,,
167,CR125,Popular Music at CIT Cork School of Music,Cork Institute of Technology,1028,,,,
168,CR130,Musical Theatre at CIT Cork School of Music,Cork Institute of Technology,525,,,,
169,CR150,Business Information Systems,Cork Institute of Technology,350,,,,
170,CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",Cork Institute of Technology,450,,,,
171,CR220,Fine Art at CIT Crawford College of Art and Design,Cork Institute of Technology,400,,,,
172,CR225,Photography with New Media at CIT Crawford College of Art and Design,Cork Institute of Technology,435,,,,
173,CR300,Physical Sciences (Common Entry),Cork Institute of Technology,260,,,,
174,CR305,Physical Sciences (Common Entry),Cork Institute of Technology,260,,,,
175,CR310,IT Management,Cork Institute of Technology,347,,,,
176,CR320,Biomedical Science - Offered jointly by CIT and UCC,Cork Institute of Technology,590,,,,
177,CR325,Pharmaceutical Biotechnology,Cork Institute of Technology,466,,,,
178,CR333,Nutrition and Health Science,Cork Institute of Technology,425,,,,
179,CR335,Biological Sciences (Common Entry),Cork Institute of Technology,473,,,,
180,CR340,Analytical Chemistry with Quality Assurance,Cork Institute of Technology,327,,,,
181,CR360,Instrument Engineering,Cork Institute of Technology,301,,,,
182,CR365,Environmental Science and Sustainable Technology,Cork Institute of Technology,262,,,,
183,CR370,Agri-Biosciences,Cork Institute of Technology,368,,,,
184,CR400,Accounting,Cork Institute of Technology,315,,,,
185,CR420,Marketing,Cork Institute of Technology,290,,,,
186,CR425,International Business with Language,Cork Institute of Technology,279,,,,
187,CR430,Sport and Exercise Management,Cork Institute of Technology,402,,,,
188,CR440,Montessori Education,Cork Institute of Technology,409,408,,,
189,CR500,Engineering (Common Entry),Cork Institute of Technology,475,,,,
190,CR510,Sustainable Energy Engineering,Cork Institute of Technology,320,,,,
191,CR520,Biomedical Engineering,Cork Institute of Technology,444,,,,
192,CR560,Architectural Technology,Cork Institute of Technology,375,,,,
193,CR565,Interior Architecture,Cork Institute of Technology,431,,,,
194,CR570,Quantity Surveying,Cork Institute of Technology,375,,,,
195,CR572,Construction Management,Cork Institute of Technology,300,,,,
196,CR580,Electrical Engineering,Cork Institute of Technology,342,,,,
197,CR590,Electronic Engineering,Cork Institute of Technology,329,,,,
198,CR600,Visual Communications at CIT Crawford College of Art and Design,Cork Institute of Technology,280,,,,
199,CR620,Early Childhood Education and Care,Cork Institute of Technology,397,377,,,
200,CR640,Culinary Arts,Cork Institute of Technology,220,178,,,
201,CR650,Beverage Industry Management,Cork Institute of Technology,193,162,,,
202,CR655,Culinary Studies,Cork Institute of Technology,196,113,,,
203,CR657,Hospitality Studies,Cork Institute of Technology,171,,,,
204,CR660,Tourism Management,Cork Institute of Technology,246,,,,
205,CR700,Theatre and Drama Studies at CIT Cork School of Music,Cork Institute of Technology,609,609,,,
206,CR805,Marine Electrotechnology at National Maritime College of Ireland,Cork Institute of Technology,229,,,,
207,CR888,Information Technology,Cork Institute of Technology,300,,,,
208,CR930,Home Economics and Business,Cork Institute of Technology,518,,,,
209,CK101,Arts - 3 years,University College Cork (NUI),300,,,,
210,CK102,Social Science,University College Cork (NUI),434,431,,,
211,CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),University College Cork (NUI),339,,,,
212,CK105,Film and Screen Media - 3 years or 4 years (International Pathway),University College Cork (NUI),421,420,,,
213,CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),University College Cork (NUI),312,,,,
214,CK108,Arts International - 4 years,University College Cork (NUI),440,440,,,
215,CK109,English - 3 years or 4 years (International Pathway),University College Cork (NUI),367,357,,,
