,Course Code,Course Title,HEI,R1 Points 2021,R2 Points 2021,R1 Points 2020,R2 Points 2020,R1 Points 2019
815,DK740,Engineering - Electrical and Electronic Systems,Dundalk Institute of Technology,163,163,,,
816,DK742,Engineering - Mechanical Engineering,Dundalk Institute of Technology,166,166,,,
817,DK744,Engineering - Civil Engineering,Dundalk Institute of Technology,165,165,,,
818,DK750,Hospitality Management,Dundalk Institute of Technology,223,157,,,
819,DK752,Event Management,Dundalk Institute of Technology,224,211,,,
820,DK753,Culinary Arts,Dundalk Institute of Technology,192,192,,,
821,DK763,"Sport, Exercise and Enterprise",Dundalk Institute of Technology,205,165,,,
822,DK767,Community Youth Work (interview),Dundalk Institute of Technology,240,240,,,
823,DK768,Audio and Music Production,Dundalk Institute of Technology,329,285,,,
824,DK769,Creative Media,Dundalk Institute of Technology,265,209,,,
825,DK770,Theatre and Film Practice,Dundalk Institute of Technology,140,140,,,
826,DK771,Musical Theatre (audition),Dundalk Institute of Technology,,,,,
827,DK781,Science - Bioscience,Dundalk Institute of Technology,376,,,,
828,DK783,Science - Pharmaceutical Science,Dundalk Institute of Technology,346,,,,
829,DK784,Veterinary Nursing,Dundalk Institute of Technology,451,430,,,
830,DK810,Accounting and Finance,Dundalk Institute of Technology,307,307,,,
831,DK816,Business Studies,Dundalk Institute of Technology,301,301,,,
832,DK820,Computing in Games Development,Dundalk Institute of Technology,309,309,,,
833,DK821,Computing in Software Development,Dundalk Institute of Technology,320,316,,,
834,DK822,Augmented and Virtual Reality,Dundalk Institute of Technology,320,320,,,
835,DK830,Building Surveying,Dundalk Institute of Technology,305,,,,
836,DK831,Architectural Technology,Dundalk Institute of Technology,368,314,,,
837,DK832,Construction Management,Dundalk Institute of Technology,358,305,,,
838,DK843,Engineering (Common Entry),Dundalk Institute of Technology,404,391,,,
839,DK844,Mechanical Engineering,Dundalk Institute of Technology,336,336,,,
840,DK845,Electrical and Electronic Engineering,Dundalk Institute of Technology,331,331,,,
841,DK846,Civil Engineering,Dundalk Institute of Technology,371,371,,,
842,DK850,International Tourism Management,Dundalk Institute of Technology,303,303,,,
843,DK861,Arts,Dundalk Institute of Technology,302,302,,,
844,DK862,Social Care,Dundalk Institute of Technology,322,319,,,
845,DK863,Creative Media,Dundalk Institute of Technology,336,320,,,
846,DK864,Film and Television Production,Dundalk Institute of Technology,308,,,,
847,DK865,Audio and Music Production,Dundalk Institute of Technology,352,,,,
848,DK870,General Nursing,Dundalk Institute of Technology,440,440,,,
849,DK872,Intellectual Disability Nursing,Dundalk Institute of Technology,367,366,,,
850,DK874,Mental Health Nursing,Dundalk Institute of Technology,398,,,,
851,DK876,Early Childhood Studies,Dundalk Institute of Technology,300,300,,,
852,DK877,Midwifery,Dundalk Institute of Technology,482,477,,,
853,DK880,Health and Physical Activity,Dundalk Institute of Technology,301,301,,,
854,DK882,Agriculture (Award options),Dundalk Institute of Technology,342,,,,
855,DK883,Science (Award options),Dundalk Institute of Technology,373,368,,,
856,DK884,Sustainable Agriculture,Dundalk Institute of Technology,348,,,,
857,DK885,Agri-Food Production,Dundalk Institute of Technology,,,,,
858,DK886,Biopharmaceutical Science,Dundalk Institute of Technology,379,,,,
859,DK887,Environmental Science,Dundalk Institute of Technology,377,,,,
860,GA160,Business (Level 6),Galway-Mayo Institute of Technology,168,168,,,
861,GA170,Business (Level 7),Galway-Mayo Institute of Technology,252,,,,
862,GA171,Business Information Systems,Galway-Mayo Institute of Technology,253,,,,
863,GA172,Rural Enterprise and Agri-Business,Galway-Mayo Institute of Technology,278,,,,
864,GA174,Marketing and Sales,Galway-Mayo Institute of Technology,278,,,,
865,GA175,Finance,Galway-Mayo Institute of Technology,318,,,,
866,GA176,Business with Entrepreneurship,Galway-Mayo Institute of Technology,278,,,,
867,GA181,Accounting,Galway-Mayo Institute of Technology,303,,,,
868,GA182,Business,Galway-Mayo Institute of Technology,285,,,,
869,GA183,Business Information Systems,Galway-Mayo Institute of Technology,298,,,,
870,GA184,Marketing and Sales,Galway-Mayo Institute of Technology,300,,,,
871,GA185,Finance and Economics,Galway-Mayo Institute of Technology,318,,,,
872,GA186,Business with Entrepreneurship,Galway-Mayo Institute of Technology,287,,,,
873,GA187,Rural Enterprise and Agri-Business,Galway-Mayo Institute of Technology,291,,,,
874,GA272,Heritage Studies,Galway-Mayo Institute of Technology,174,174,,,
875,GA273,Contemporary Art (portfolio),Galway-Mayo Institute of Technology,775,,,,
876,GA274,Design,Galway-Mayo Institute of Technology,271,,,,
877,GA281,Film and Documentary,Galway-Mayo Institute of Technology,310,301,,,
878,GA282,Heritage Studies,Galway-Mayo Institute of Technology,252,,,,
879,GA283,Contemporary Art (portfolio),Galway-Mayo Institute of Technology,790,,,,
880,GA284,Design,Galway-Mayo Institute of Technology,331,,,,
881,GA285,"Education (Art, Design and Graphics)",Galway-Mayo Institute of Technology,406,,,,
882,GA360,Business in Tourism,Galway-Mayo Institute of Technology,171,,,,
883,GA361,Culinary Arts,Galway-Mayo Institute of Technology,181,,,,
884,GA362,Hotel and Hospitality Operations,Galway-Mayo Institute of Technology,162,162,,,
885,GA364,Heritage Studies,Galway-Mayo Institute of Technology,252,252,,,
886,GA370,Hotel and Catering Management,Galway-Mayo Institute of Technology,163,163,,,
887,GA376,Event Management with Public Relations,Galway-Mayo Institute of Technology,216,,,,
888,GA377,International Tourism Management,Galway-Mayo Institute of Technology,180,180,,,
889,GA378,Culinary and Gastronomic Science,Galway-Mayo Institute of Technology,200,160,,,
890,GA380,International Hotel Management,Galway-Mayo Institute of Technology,218,,,,
891,GA381,International Tourism Management,Galway-Mayo Institute of Technology,252,,,,
892,GA382,Culinary and Gastronomic Science,Galway-Mayo Institute of Technology,235,,,,
893,GA384,Event Management with Public Relations,Galway-Mayo Institute of Technology,230,,,,
894,GA470,Construction Management,Galway-Mayo Institute of Technology,246,,,,
895,GA471,Quantity Surveying and Construction Economics,Galway-Mayo Institute of Technology,234,,,,
896,GA472,Architectural Technology,Galway-Mayo Institute of Technology,260,,,,
897,GA473,Civil Engineering,Galway-Mayo Institute of Technology,304,,,,
898,GA480,Construction Management,Galway-Mayo Institute of Technology,302,,,,
899,GA482,Quantity Surveying and Construction Economics,Galway-Mayo Institute of Technology,304,,,,
900,GA483,Architectural Technology,Galway-Mayo Institute of Technology,281,273,,,
901,GA484,Civil Engineering,Galway-Mayo Institute of Technology,377,,,,
902,GA570,Software and Electronic Engineering,Galway-Mayo Institute of Technology,225,,,,
903,GA580,Software and Electronic Engineering,Galway-Mayo Institute of Technology,300,,,,
904,GA670,Mechanical Engineering,Galway-Mayo Institute of Technology,294,,,,
905,GA673,Energy Engineering,Galway-Mayo Institute of Technology,279,,,,
906,GA674,Biomedical Engineering,Galway-Mayo Institute of Technology,308,,,,
907,GA675,Agricultural Engineering,Galway-Mayo Institute of Technology,290,,,,
908,GA676,Engineering (Common Entry to Manu/Agri/Biomed/Energy/Mech Eng),Galway-Mayo Institute of Technology,304,,,,
909,GA677,Manufacturing Engineering Design,Galway-Mayo Institute of Technology,308,,,,
910,GA680,Mechanical Engineering,Galway-Mayo Institute of Technology,400,,,,
911,GA681,Energy Engineering,Galway-Mayo Institute of Technology,312,,,,
912,GA682,Biomedical Engineering,Galway-Mayo Institute of Technology,331,,,,
913,GA683,Agricultural Engineering,Galway-Mayo Institute of Technology,304,,,,
914,GA684,Engineering Common Entry to Manu/Agri/Biomed/Energy/Mech Eng,Galway-Mayo Institute of Technology,413,,,,
915,GA685,Manufacturing Engineering Design,Galway-Mayo Institute of Technology,336,,,,
916,GA770,Applied Freshwater and Marine Biology,Galway-Mayo Institute of Technology,303,,,,
917,GA771,Applied Biology and Biopharmaceutical Science,Galway-Mayo Institute of Technology,302,,,,
918,GA772,Chemical and Pharmaceutical Science,Galway-Mayo Institute of Technology,310,,,,
919,GA773,Physics and Instrumentation,Galway-Mayo Institute of Technology,302,,,,
920,GA774,Science (Undenominated),Galway-Mayo Institute of Technology,302,,,,
921,GA775,Computing in Software Development,Galway-Mayo Institute of Technology,280,,,,
922,GA776,Computing and Digital Media,Galway-Mayo Institute of Technology,244,,,,
923,GA777,Agriculture and Environmental Management,Galway-Mayo Institute of Technology,281,,,,
924,GA780,Applied Freshwater and Marine Biology,Galway-Mayo Institute of Technology,366,,,,
925,GA781,Applied Biology and Biopharmaceutical Science,Galway-Mayo Institute of Technology,381,,,,
926,GA782,Chemical and Pharmaceutical Science,Galway-Mayo Institute of Technology,356,,,,
927,GA783,Physics and Instrumentation,Galway-Mayo Institute of Technology,301,,,,
928,GA784,Science (Undenominated),Galway-Mayo Institute of Technology,445,,,,
929,GA785,Medical Science,Galway-Mayo Institute of Technology,517,510,,,
930,GA786,Forensic Science and Analysis,Galway-Mayo Institute of Technology,408,408,,,
931,GA787,Computing in Software Development,Galway-Mayo Institute of Technology,310,,,,
932,GA788,Computing and Digital Media,Galway-Mayo Institute of Technology,270,,,,
933,GA789,Agriculture and Environmental Management,Galway-Mayo Institute of Technology,340,,,,
934,GA790,Sport and Exercise Science,Galway-Mayo Institute of Technology,376,366,,,
935,GA791,Public Health Nutrition,Galway-Mayo Institute of Technology,368,,,,
936,GA862,History and Geography,Galway-Mayo Institute of Technology,195,195,,,
937,GA864,Early Childhood Education and Care,Galway-Mayo Institute of Technology,170,170,,,
938,GA870,Outdoor Education and Leisure,Galway-Mayo Institute of Technology,166,166,,,
939,GA871,Early Childhood Education and Care,Galway-Mayo Institute of Technology,196,,,,
940,GA872,Culture and Environment,Galway-Mayo Institute of Technology,201,,,,
941,GA876,Community Development and Youth Work (Level 7),Galway-Mayo Institute of Technology,,,,,
942,GA879,Applied Social Care,Galway-Mayo Institute of Technology,241,,,,
943,GA880,General Nursing,Galway-Mayo Institute of Technology,440,,,,
944,GA882,Psychiatric Nursing,Galway-Mayo Institute of Technology,369,,,,
945,GA885,Outdoor Education,Galway-Mayo Institute of Technology,269,,,,
946,GA887,History and Geography,Galway-Mayo Institute of Technology,201,,,,
947,GA889,Applied Social Care,Galway-Mayo Institute of Technology,265,,,,
948,GA890,Early Childhood Education and Care,Galway-Mayo Institute of Technology,281,227,,,
949,GA891,Geography and Outdoor Education,Galway-Mayo Institute of Technology,261,,,,
950,GA892,Community Development and Youth Work (Level 8),Galway-Mayo Institute of Technology,,,,,
951,GA970,Furniture Design and Manufacture,Galway-Mayo Institute of Technology,302,,,,
952,GA971,Furniture Making and Architectural Woodworking,Galway-Mayo Institute of Technology,369,,,,
953,GA973,Furniture and Digital Manufacturing,Galway-Mayo Institute of Technology,,,,,
954,GA974,"Furniture Design, Making and Technology - Common Entry",Galway-Mayo Institute of Technology,422,,,,
955,GA980,Education (Design Graphics and Construction),Galway-Mayo Institute of Technology,410,,,,
956,GA981,Furniture Design and Manufacture,Galway-Mayo Institute of Technology,346,,,,
957,GA982,Furniture Making and Architectural Woodworking,Galway-Mayo Institute of Technology,360,,,,
958,GA983,Furniture and Digital Manufacturing,Galway-Mayo Institute of Technology,,,,,
959,GA984,"Furniture Design, Making and Technology - Common Entry",Galway-Mayo Institute of Technology,486,467,,,
960,GY101,Arts (Joint-Honours),"National University of Ireland, Galway",327,326,,,
961,GY104,BSc (Psychology),"National University of Ireland, Galway",564,555,,,
962,GY105,Arts (History),"National University of Ireland, Galway",357,,,,
963,GY109,Arts (Mathematics and Education),"National University of Ireland, Galway",413,,,,
964,GY110,Arts (Children and Youth Studies - options),"National University of Ireland, Galway",387,,,,
965,GY111,Arts (English and Creative Writing),"National University of Ireland, Galway",421,420,,,
966,GY113,Arts with Human Rights,"National University of Ireland, Galway",413,,,,
967,GY115,Arts with Performing Arts Studies,"National University of Ireland, Galway",300,,,,
968,GY118,"Arts (Drama, Theatre and Performance Studies)","National University of Ireland, Galway",453,430,,,
969,GY119,Arts (Journalism),"National University of Ireland, Galway",484,473,,,
970,GY122,Na Dána (Cumarsáid agus Gaeilge),"National University of Ireland, Galway",410,,,,
971,GY123,Applied Social Sciences,"National University of Ireland, Galway",419,,,,
972,GY125,Arts (Digital Arts and Technology),"National University of Ireland, Galway",403,,,,
973,GY127,Arts (Film and Digital Media),"National University of Ireland, Galway",430,421,,,
974,GY128,Arts (Global Languages),"National University of Ireland, Galway",346,,,,
975,GY129,Arts (Global Experience),"National University of Ireland, Galway",465,,,,
976,GY130,Arts (Music),"National University of Ireland, Galway",462,,,,
977,GY132,"Government (Politics, Economics and Law)","National University of Ireland, Galway",465,451,,,
978,GY133,Education (Computer Science and Mathematical Studies),"National University of Ireland, Galway",454,,,,
979,GY134,Geography and Geosystems,"National University of Ireland, Galway",425,,,,
980,GY135,Arts (Global Media),"National University of Ireland, Galway",442,,,,
981,GY136,Na Dána (Léann Teanga - options),"National University of Ireland, Galway",526,,,,
982,GY201,Commerce,"National University of Ireland, Galway",476,,,,
983,GY202,Commerce (International) with French,"National University of Ireland, Galway",520,,,,
984,GY203,Commerce (International) with German,"National University of Ireland, Galway",518,,,,
985,GY204,Commerce (International) with Spanish,"National University of Ireland, Galway",506,,,,
986,GY206,Business Information Systems (Work Placement and Optional Int`l Study),"National University of Ireland, Galway",509,,,,
987,GY207,Commerce (Accounting) including optional Global Experience year,"National University of Ireland, Galway",543,,,,
988,GY208,Commerce (Gaeilge),"National University of Ireland, Galway",508,,,,
989,GY209,Commerce (Global Experience),"National University of Ireland, Galway",551,,,,
990,GY250,Law and Business,"National University of Ireland, Galway",510,,,,
991,GY251,Law (BCL),"National University of Ireland, Galway",542,,,,
992,GY252,Law (BCL) and Human Rights,"National University of Ireland, Galway",565,,,,
993,GY253,Law and Taxation,"National University of Ireland, Galway",506,,,,
994,GY254,"Law (BCL), Criminology and Criminal Justice","National University of Ireland, Galway",548,,,,
995,GY261,Business Studies in International Hotel Management (interview),"National University of Ireland, Galway",503,,,,
996,GY262,Commerce in International Hotel Management (interview),"National University of Ireland, Galway",709,,,,
997,GY301,Science,"National University of Ireland, Galway",489,488,,,
998,GY303,Biomedical Science,"National University of Ireland, Galway",613,,,,
999,GY304,Biotechnology,"National University of Ireland, Galway",498,495,,,
1000,GY308,Environmental Science,"National University of Ireland, Galway",431,430,,,
1001,GY309,Financial Mathematics and Economics,"National University of Ireland, Galway",509,,,,
1002,GY310,Marine Science,"National University of Ireland, Galway",467,,,,
1003,GY313,Environmental Health and Safety,"National University of Ireland, Galway",412,,,,
1004,GY314,Earth and Ocean Sciences,"National University of Ireland, Galway",422,,,,
1005,GY318,Biopharmaceutical Chemistry,"National University of Ireland, Galway",555,,,,
1006,GY319,Mathematical Science,"National University of Ireland, Galway",543,,,,
1007,GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)","National University of Ireland, Galway",465,,,,
1008,GY321,Genetics and Genomics,"National University of Ireland, Galway",532,,,,
1009,GY322,Agricultural Sciences,"National University of Ireland, Galway",485,,,,
1010,GY350,Computer Science and Information Technology,"National University of Ireland, Galway",495,,,,
1011,GY401,Engineering (Undenominated),"National University of Ireland, Galway",522,520,,,
1012,GY402,Civil Engineering,"National University of Ireland, Galway",533,521,,,
1013,GY405,Mechanical Engineering,"National University of Ireland, Galway",541,,,,
1014,GY406,Electronic and Computer Engineering,"National University of Ireland, Galway",555,,,,
1015,GY408,Biomedical Engineering,"National University of Ireland, Galway",554,,,,
1016,GY410,Project and Construction Management,"National University of Ireland, Galway",431,,,,
1017,GY413,Energy Systems Engineering,"National University of Ireland, Galway",509,,,,
1018,GY414,Electrical and Electronic Engineering,"National University of Ireland, Galway",433,,,,
1019,GY501,"Medicine (five year/six year course, HPAT required)","National University of Ireland, Galway",737,737,,,
1020,GY502,Occupational Therapy,"National University of Ireland, Galway",601,,,,
1021,GY503,Speech and Language Therapy,"National University of Ireland, Galway",578,,,,
1022,GY504,Podiatric Medicine,"National University of Ireland, Galway",531,526,,,
1023,GY515,General Nursing (Galway and Portiuncula),"National University of Ireland, Galway",502,496,,,
1024,GY516,Mental Health Nursing,"National University of Ireland, Galway",475,441,,,
1025,GY517,Midwifery,"National University of Ireland, Galway",520,509,,,
1026,GB001,Business,Galway Business School,,,,,
1027,LY107,Business - Common Entry,Letterkenny Institute of Technology,189,189,,,
1028,LY108,Business - Accounting,Letterkenny Institute of Technology,312,,,,
1029,LY118,Business,Letterkenny Institute of Technology,288,,,,
1030,LY128,Marketing with Online Technologies,Letterkenny Institute of Technology,261,261,,,
1031,LY206,Sports Studies,Letterkenny Institute of Technology,147,126,,,
1032,LY207,Law with Criminal Justice,Letterkenny Institute of Technology,161,161,,,
1033,LY208,Law,Letterkenny Institute of Technology,300,290,,,
1034,LY228,Sports and Exercise - Common Entry,Letterkenny Institute of Technology,290,,,,
1035,LY317,Culinary Arts,Letterkenny Institute of Technology,205,186,,,
1036,LY327,Hospitality And Tourism - Common Entry,Letterkenny Institute of Technology,180,178,,,
1037,LY408,Design - Common Entry,Letterkenny Institute of Technology,301,,,,
1038,LY427,Digital Film and Video,Letterkenny Institute of Technology,217,217,,,
1039,LY437,Animation,Letterkenny Institute of Technology,183,,,,
1040,LY447,Fashion with Promotion,Letterkenny Institute of Technology,189,,,,
1041,LY457,Graphic and Digital Design,Letterkenny Institute of Technology,188,188,,,
1042,LY507,Quantity Surveying,Letterkenny Institute of Technology,204,163,,,
1043,LY508,Fire Safety Engineering,Letterkenny Institute of Technology,283,,,,
1044,LY518,Quantity Surveying,Letterkenny Institute of Technology,304,,,,
1045,LY527,Civil Engineering,Letterkenny Institute of Technology,164,164,,,
1046,LY528,Construction Management,Letterkenny Institute of Technology,262,,,,
1047,LY538,Architectural Technology,Letterkenny Institute of Technology,234,234,,,
1048,LY606,Electric Vehicle Engineering,Letterkenny Institute of Technology,216,149,,,
1049,LY607,Electronic Engineering,Letterkenny Institute of Technology,198,198,,,
1050,LY608,Mechanical Engineering,Letterkenny Institute of Technology,300,,,,
1051,LY617,Mechanical Engineering,Letterkenny Institute of Technology,163,163,,,
1052,LY618,Electronic Engineering,Letterkenny Institute of Technology,321,,,,
1053,LY707,Computer Games Development,Letterkenny Institute of Technology,206,,,,
1054,LY708,Applied Computing,Letterkenny Institute of Technology,320,,,,
1055,LY717,Computing,Letterkenny Institute of Technology,180,160,,,
1056,LY737,Computer Security and Digital Forensics,Letterkenny Institute of Technology,161,161,,,
1057,LY748,Computer Science,Letterkenny Institute of Technology,316,,,,
1058,LY806,Pharmacy Technician,Letterkenny Institute of Technology,172,172,,,
1059,LY816,Dental Nursing,Letterkenny Institute of Technology,180,,,,
1060,LY817,Bioscience,Letterkenny Institute of Technology,250,,,,
1061,LY818,Science - Common Entry,Letterkenny Institute of Technology,302,,,,
1062,LY826,Health Science with Physiotherapy Studies,Letterkenny Institute of Technology,487,476,,,
1063,LY828,Agriculture - Common Entry,Letterkenny Institute of Technology,308,300,,,
1064,LY836,Health Science with Occupational Therapy Studies,Letterkenny Institute of Technology,451,433,,,
1065,LY837,Food Science and Nutrition,Letterkenny Institute of Technology,215,215,,,
1066,LY846,Health Science with Dietetics Studies,Letterkenny Institute of Technology,336,264,,,
1067,LY847,Veterinary Nursing,Letterkenny Institute of Technology,389,,,,
1068,LY867,Pharmaceutical and Medicinal Science,Letterkenny Institute of Technology,179,170,,,
1069,LY877,Agriculture,Letterkenny Institute of Technology,200,,,,
1070,LY906,"Early Childhood Care, Health and Education",Letterkenny Institute of Technology,154,,,,
1071,LY908,General Nursing,Letterkenny Institute of Technology,429,,,,
1072,LY916,Health and Social Care,Letterkenny Institute of Technology,195,180,,,
1073,LY918,Psychiatric Nursing,Letterkenny Institute of Technology,367,,,,
1074,LY928,Intellectual Disability Nursing,Letterkenny Institute of Technology,357,,,,
1075,LY968,"Early Childhood Care, Health and Education",Letterkenny Institute of Technology,288,,,,
1076,LY978,Health and Social Care - Common Entry,Letterkenny Institute of Technology,279,,,,
1077,MI001,Contemporary and Applied Theatre Studies,Mary Immaculate College,209,,,,
1078,MI002,Arts,Mary Immaculate College,280,,,,
1079,MI004,Education - Primary Teaching - International,Mary Immaculate College,589,,,,
1080,MI005,Education - Primary Teaching,Mary Immaculate College,522,,,,
1081,MI006,Education - Primary Teaching - Gaeltacht Applicants,Mary Immaculate College,485,,,,
1082,MI007,Early Childhood Care and Education,Mary Immaculate College,409,,,,
1083,MI008,Education and Psychology - Primary Teaching,Mary Immaculate College,590,,,,
1084,MI009,"Education, Business Studies and Accounting",Mary Immaculate College,434,,,,
1085,MI010,"Education, Business Studies and Religious Studies",Mary Immaculate College,370,,,,
1086,MI011,"Education, Gaeilge and Religious Studies",Mary Immaculate College,407,,,,
1087,MI012,"Education, Gaeilge and Business Studies",Mary Immaculate College,387,,,,
1088,MI013,"Education, Mathematics and Gaeilge",Mary Immaculate College,509,,,,
1089,MI014,"Education, Mathematics and Business Studies",Mary Immaculate College,476,,,,
1090,CI110,Counselling and Psychotherapy,Irish College of Humanities & Applied Sciences,292,,,,
1091,CI111,Counselling and Psychotherapy with Addiction Studies,Irish College of Humanities & Applied Sciences,290,,,,
1092,CI112,Counselling and Psychotherapy with Youth Studies,Irish College of Humanities & Applied Sciences,325,,,,
1093,LC110,"Art and Design (Common Entry, portfolio)",Limerick Institute of Technology,794,,,,
1094,LC114,Fashion and Textiles for Product and Costume (portfolio),Limerick Institute of Technology,914,,,,
1095,LC115,"Art and Design Teacher Education (LIT and UL, portfolio)",Limerick Institute of Technology,993,,,,
1096,LC220,Digital Marketing,Limerick Institute of Technology,263,,,,
1097,LC221,Accounting and Finance,Limerick Institute of Technology,243,,,,
1098,LC222,Marketing and Management,Limerick Institute of Technology,259,,,,
1099,LC223,Law and Taxation,Limerick Institute of Technology,331,,,,
1100,LC224,Accounting and Finance,Limerick Institute of Technology,300,,,,
1101,LC225,Marketing and Management,Limerick Institute of Technology,298,,,,
1102,LC226,Enterprise and Innovation,Limerick Institute of Technology,255,,,,
1103,LC228,Sports Development and Coaching,Limerick Institute of Technology,214,,,,
1104,LC230,Business with Computing,Limerick Institute of Technology,241,224,,,
1105,LC233,Software Development,Limerick Institute of Technology,280,,,,
1106,LC234,Immersive Digital Media and Spatial Computing,Limerick Institute of Technology,226,,,,
1107,LC235,Internet Systems Development,Limerick Institute of Technology,207,,,,
1108,LC236,Internet Systems Development,Limerick Institute of Technology,260,,,,
1109,LC239,Computer Networks and Systems Management,Limerick Institute of Technology,317,,,,
1110,LC241,Construction Management,Limerick Institute of Technology,326,,,,
1111,LC242,Property Valuation and Management,Limerick Institute of Technology,308,,,,
1112,LC243,Quantity Surveying,Limerick Institute of Technology,278,,,,
1113,LC248,Built Environment (Common Entry),Limerick Institute of Technology,300,,,,
1114,LC251,Civil Engineering,Limerick Institute of Technology,205,,,,
1115,LC252,Civil Engineering Management,Limerick Institute of Technology,264,,,,
1116,LC260,Applied Biology,Limerick Institute of Technology,338,,,,
1117,LC263,Medical Technology,Limerick Institute of Technology,391,,,,
1118,LC265,Forensic and Pharmaceutical Sciences,Limerick Institute of Technology,498,,,,
1119,LC266,Drug and Medicinal Product Analysis,Limerick Institute of Technology,252,,,,
1120,LC267,Forensic and Pharmaceutical Sciences,Limerick Institute of Technology,400,,,,
1121,LC268,Medical Technology,Limerick Institute of Technology,384,,,,
1122,LC270,Music Technology and Production,Limerick Institute of Technology,354,,,,
1123,LC271,Electrical Engineering,Limerick Institute of Technology,329,316,,,
1124,LC275,Electrical Engineering,Limerick Institute of Technology,361,347,,,
1125,LC276,Creative Broadcast and Film Production,Limerick Institute of Technology,310,300,,,
1126,LC277,Industrial Automation and Robotic Systems,Limerick Institute of Technology,261,,,,
1127,LC278,Renewable and Electrical Energy Engineering,Limerick Institute of Technology,306,283,,,
1128,LC279,Electronic Engineering with Computer Systems,Limerick Institute of Technology,242,,,,
1129,LC281,Automobile Technology,Limerick Institute of Technology,277,,,,
1130,LC283,Precision Engineering,Limerick Institute of Technology,207,,,,
1131,LC284,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry",Limerick Institute of Technology,192,,,,
1132,LC285,Mechanical Engineering,Limerick Institute of Technology,299,292,,,
1133,LC286,Road Transport Technology and Management,Limerick Institute of Technology,294,,,,
1134,LC288,Mechanical Engineering,Limerick Institute of Technology,378,369,,,
1135,LC289,Precision Engineering,Limerick Institute of Technology,261,,,,
1136,LC290,Sports Development Performance,Limerick Institute of Technology,208,,,,
1137,LC292,Social Care Work,Limerick Institute of Technology,374,,,,
1138,LC293,Business Studies with Travel and Tourism Management,Limerick Institute of Technology,271,264,,,
1139,LC294,Business Studies with Event Management,Limerick Institute of Technology,279,,,,
1140,LC295,Business Studies with Sports Management,Limerick Institute of Technology,262,,,,
1141,LC297,Community and Addiction Studies,Limerick Institute of Technology,272,262,,,
1142,LC320,Business,Limerick Institute of Technology,381,,,,
1143,LC322,Enterprise and Innovation,Limerick Institute of Technology,228,,,,
1144,LC330,Business with Computing,Limerick Institute of Technology,328,308,,,
1145,LC336,Computing,Limerick Institute of Technology,219,,,,
1146,LC340,Interior Design,Limerick Institute of Technology,391,368,,,
1147,LC362,Biotechnology and Biopharmaceutical Sciences,Limerick Institute of Technology,429,,,,
1148,LC371,Creative Broadcast and Film Production,Limerick Institute of Technology,325,310,,,
1149,LC372,Music Technology and Production,Limerick Institute of Technology,377,,,,
1150,LC374,Renewable and Electrical Energy Engineering,Limerick Institute of Technology,337,319,,,
1151,LC375,Industrial Automation and Robotic Systems,Limerick Institute of Technology,309,,,,
1152,LC376,Electronic Engineering with Computer Systems,Limerick Institute of Technology,357,,,,
1153,LC380,Automotive Engineering and Transport Management,Limerick Institute of Technology,298,,,,
1154,LC392,Business Studies in Beauty and Spa Management,Limerick Institute of Technology,328,317,,,
1155,LC393,Early Childhood Education and Care,Limerick Institute of Technology,309,276,,,
1156,LC396,Beauty and Spa Services,Limerick Institute of Technology,319,309,,,
1157,LC397,Business Studies with Sports,Limerick Institute of Technology,233,,,,
1158,LC398,Culinary Arts,Limerick Institute of Technology,215,,,,
1159,LC399,Hospitality Supervision,Limerick Institute of Technology,137,,,,
1160,LC402,Social Care Work,Limerick Institute of Technology,228,,,,
1161,LC408,Environmental Science and Climate,Limerick Institute of Technology,279,,,,
1162,LC415,Business,Limerick Institute of Technology,172,,,,
1163,LC416,Business,Limerick Institute of Technology,260,,,,
1164,LC418,Computing - Games Design and Development,Limerick Institute of Technology,260,256,,,
1165,LC422,Applied Strength and Conditioning,Limerick Institute of Technology,289,,,,
1166,LC423,Applied Strength and Conditioning,Limerick Institute of Technology,145,,,,
1167,LC425,Environmental Science,Limerick Institute of Technology,229,,,,
1168,LC502,Game Art and Design (portfolio),Limerick Institute of Technology,841,,,,
1169,LC504,Creative Media and Design,Limerick Institute of Technology,155,,,,
1170,LC517,Creative Media and Design,Limerick Institute of Technology,279,,,,
1171,LC518,Digital Animation Production (portfolio),Limerick Institute of Technology,807,,,,
1172,LC602,Social Care Work,Limerick Institute of Technology,251,,,,
1173,LC612,Social Care Work,Limerick Institute of Technology,309,,,,
1174,LM002,Arts,University of Limerick,360,360,,,
1175,LM019,Social Sciences,University of Limerick,451,,,,
1176,LM020,Law and Accounting,University of Limerick,474,,,,
1177,LM026,Performing Arts (audition format TBC),University of Limerick,329,,,,
1178,LM028,Criminal Justice,University of Limerick,420,,,,
1179,LM029,Law Plus,University of Limerick,530,,,,
1180,LM038,Psychology and Sociology,University of Limerick,530,,,,
1181,LM039,Journalism and Digital Communication,University of Limerick,432,,,,
1182,LM040,European Studies,University of Limerick,409,,,,
1183,LM044,Applied Languages,University of Limerick,429,,,,
1184,LM050,Business Studies (options),University of Limerick,451,,,,
1185,LM056,International Business,University of Limerick,555,,,,
1186,LM058,Financial Mathematics,University of Limerick,468,,,,
1187,LM063,Technology Management,University of Limerick,410,,,,
1188,LM066,Environmental Science,University of Limerick,430,,,,
