code,course,HEI,R1 Points 2021,R2 Points 2021,EOS Points 2021,R1 Points 2020,R2 Points 2020,EOS Points 2020,R1 Points 2019
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",Cork Institute of Technology,450.0,,450.0,,,,979.0
CR220,Fine Art at CIT Crawford College of Art and Design,Cork Institute of Technology,400.0,,400.0,,,,620.0
CR225,Photography with New Media at CIT Crawford College of Art and Design,Cork Institute of Technology,435.0,,435.0,,,,920.0
CR305,Physical Sciences (Common Entry),Cork Institute of Technology,260.0,,260.0,282.0,,282.0,279.0
CR310,IT Management,Cork Institute of Technology,347.0,,347.0,297.0,,297.0,282.0
CR320,Biomedical Science - Offered jointly by CIT and UCC,Cork Institute of Technology,590.0,,590.0,565.0,,565.0,546.0
CR325,Pharmaceutical Biotechnology,Cork Institute of Technology,466.0,,466.0,398.0,,398.0,388.0
CR333,Nutrition and Health Science,Cork Institute of Technology,425.0,,425.0,402.0,,402.0,360.0
CR335,Biological Sciences (Common Entry),Cork Institute of Technology,473.0,,473.0,420.0,,420.0,381.0
CR340,Analytical Chemistry with Quality Assurance,Cork Institute of Technology,327.0,,327.0,251.0,,251.0,288.0
CR360,Instrument Engineering,Cork Institute of Technology,301.0,,301.0,261.0,,261.0,291.0
CR365,Environmental Science and Sustainable Technology,Cork Institute of Technology,262.0,,262.0,253.0,,253.0,334.0
CR370,Agri-Biosciences,Cork Institute of Technology,368.0,,368.0,397.0,,397.0,408.0
CR400,Accounting,Cork Institute of Technology,315.0,,315.0,316.0,,316.0,316.0
CR420,Marketing,Cork Institute of Technology,290.0,,290.0,285.0,,285.0,288.0
CR425,International Business with Language,Cork Institute of Technology,279.0,,279.0,298.0,,298.0,300.0
CR430,Sport and Exercise Management,Cork Institute of Technology,402.0,,402.0,322.0,,322.0,
CR440,Montessori Education,Cork Institute of Technology,409.0,408.0,408.0,288.0,,288.0,
CR500,Engineering (Common Entry),Cork Institute of Technology,475.0,,475.0,411.0,,411.0,381.0
CR510,Sustainable Energy Engineering,Cork Institute of Technology,320.0,,320.0,320.0,,320.0,319.0
CR520,Biomedical Engineering,Cork Institute of Technology,444.0,,444.0,444.0,,444.0,434.0
CR560,Architectural Technology,Cork Institute of Technology,375.0,,375.0,308.0,,308.0,288.0
CR565,Interior Architecture,Cork Institute of Technology,431.0,,431.0,359.0,,359.0,336.0
CR570,Quantity Surveying,Cork Institute of Technology,375.0,,375.0,336.0,,336.0,279.0
CR572,Construction Management,Cork Institute of Technology,300.0,,300.0,269.0,,269.0,253.0
CR580,Electrical Engineering,Cork Institute of Technology,342.0,,342.0,318.0,,318.0,344.0
CR590,Electronic Engineering,Cork Institute of Technology,329.0,,329.0,303.0,,303.0,342.0
CR600,Visual Communications at CIT Crawford College of Art and Design,Cork Institute of Technology,280.0,,280.0,,,,587.0
CR660,Tourism Management,Cork Institute of Technology,246.0,,246.0,252.0,,252.0,249.0
CR700,Theatre and Drama Studies at CIT Cork School of Music,Cork Institute of Technology,609.0,609.0,609.0,740.0,645.0,645.0,768.0
CR930,Home Economics and Business,Cork Institute of Technology,518.0,,510.0,,,,
CK101,Arts - 3 years,University College Cork (NUI),300.0,,300.0,300.0,,300.0,300.0
CK102,Social Science,University College Cork (NUI),434.0,431.0,420.0,412.0,,412.0,391.0
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),University College Cork (NUI),339.0,,339.0,302.0,,302.0,340.0
CK105,Film and Screen Media - 3 years or 4 years (International Pathway),University College Cork (NUI),421.0,420.0,420.0,368.0,337.0,319.0,397.0
CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),University College Cork (NUI),312.0,,312.0,328.0,,328.0,326.0
CK108,Arts International - 4 years,University College Cork (NUI),440.0,440.0,440.0,401.0,,401.0,429.0
CK109,English - 3 years or 4 years (International Pathway),University College Cork (NUI),367.0,357.0,352.0,318.0,,318.0,347.0
CK110,World Languages,University College Cork (NUI),488.0,,488.0,452.0,433.0,410.0,456.0
CK111,Early Years and Childhood Studies,University College Cork (NUI),409.0,403.0,378.0,419.0,,419.0,398.0
CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),University College Cork (NUI),371.0,,371.0,330.0,,330.0,324.0
CK113,Criminology - 3 years or 4 years (International Pathway),University College Cork (NUI),464.0,463.0,456.0,423.0,,423.0,408.0
CK114,Social Science (Youth and Community Work),University College Cork (NUI),,,,,,777.0,
CK115,Social Work - Mature Applicants only,University College Cork (NUI),,,,,,999.0,
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),University College Cork (NUI),347.0,339.0,339.0,336.0,,336.0,307.0
CK120,Applied Psychology,University College Cork (NUI),544.0,543.0,543.0,533.0,532.0,531.0,506.0
CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),University College Cork (NUI),499.0,488.0,478.0,466.0,,466.0,393.0
CK122,Government and Political Science,University College Cork (NUI),399.0,,397.0,337.0,328.0,326.0,355.0
CK123,Anthropology,University College Cork (NUI),308.0,,308.0,308.0,,308.0,
CK124,Education - Gaeilge,University College Cork (NUI),473.0,,473.0,463.0,462.0,452.0,
CK125,Sports Studies and Physical Education,University College Cork (NUI),564.0,555.0,555.0,510.0,509.0,509.0,
CK201,Commerce,University College Cork (NUI),500.0,499.0,499.0,477.0,,477.0,465.0
CK202,Accounting,University College Cork (NUI),553.0,543.0,532.0,509.0,,509.0,467.0
CK203,Business Information Systems,University College Cork (NUI),455.0,452.0,445.0,430.0,,430.0,409.0
CK204,Finance,University College Cork (NUI),566.0,566.0,566.0,556.0,,556.0,531.0
CK205,Commerce (International) with French,University College Cork (NUI),465.0,,462.0,445.0,,445.0,409.0
CK206,Commerce (International) with German,University College Cork (NUI),466.0,455.0,455.0,420.0,418.0,418.0,408.0
CK207,Commerce (International) with Italian,University College Cork (NUI),423.0,418.0,418.0,388.0,,388.0,408.0
CK208,Commerce (International) with Hispanic Studies,University College Cork (NUI),488.0,486.0,477.0,402.0,,402.0,431.0
CK209,Commerce (International) with Irish,University College Cork (NUI),507.0,,507.0,484.0,,484.0,509.0
CK211,Commerce (International) with Chinese Studies,University College Cork (NUI),385.0,,385.0,397.0,,397.0,398.0
CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,University College Cork (NUI),445.0,444.0,431.0,444.0,,444.0,400.0
CK213,Food Marketing and Entrepreneurship,University College Cork (NUI),466.0,,466.0,462.0,,462.0,
CK214,International Development,University College Cork (NUI),332.0,,332.0,346.0,,346.0,
CK301,Law (Pathways) -  3 or 4 years,University College Cork (NUI),533.0,532.0,532.0,507.0,499.0,498.0,476.0
CK302,Law and French,University College Cork (NUI),545.0,,545.0,542.0,,542.0,453.0
CK304,Law and Irish,University College Cork (NUI),588.0,,588.0,540.0,,540.0,462.0
CK307,Law and Business,University College Cork (NUI),589.0,589.0,589.0,556.0,,556.0,522.0
CK401,Computer Science,University College Cork (NUI),503.0,495.0,488.0,468.0,,468.0,402.0
CK402,Biological and Chemical Sciences,University College Cork (NUI),555.0,555.0,554.0,510.0,509.0,509.0,498.0
CK404,"Biological, Earth and Environmental Sciences",University College Cork (NUI),500.0,495.0,487.0,467.0,,465.0,412.0
CK405,Genetics,University College Cork (NUI),543.0,,533.0,487.0,,487.0,476.0
CK406,Chemical Sciences,University College Cork (NUI),532.0,,532.0,485.0,472.0,462.0,457.0
CK407,Mathematical Sciences,University College Cork (NUI),566.0,,566.0,566.0,565.0,565.0,531.0
CK408,Physics and Astrophysics,University College Cork (NUI),566.0,,555.0,554.0,542.0,531.0,511.0
CK409,Industrial Physics - Offered jointly by UCC and CIT,University College Cork (NUI),465.0,,465.0,432.0,,432.0,413.0
CK411,Data Science and Analytics,University College Cork (NUI),531.0,,531.0,510.0,,509.0,509.0
CK412,Agricultural Science,University College Cork (NUI),506.0,,506.0,496.0,496.0,489.0,457.0
CK504,Nutritional Sciences,University College Cork (NUI),555.0,554.0,544.0,518.0,,517.0,492.0
CK505,Food Science,University College Cork (NUI),463.0,,463.0,441.0,440.0,420.0,444.0
CK600,Engineering,University College Cork (NUI),510.0,509.0,499.0,487.0,,487.0,465.0
CK606,Architecture - Offered jointly by UCC and CIT,University College Cork (NUI),543.0,,543.0,484.0,476.0,469.0,465.0
CK701,Medicine (Undergraduate Entry - HPAT required),University College Cork (NUI),738.0,737.0,737.0,731.0,,731.0,729.0
CK702,Dentistry,University College Cork (NUI),625.0,625.0,625.0,613.0,613.0,613.0,590.0
CK703,Pharmacy,University College Cork (NUI),613.0,613.0,613.0,590.0,589.0,589.0,577.0
CK704,Occupational Therapy,University College Cork (NUI),601.0,,590.0,566.0,555.0,555.0,532.0
CK705,Speech and Language Therapy,University College Cork (NUI),568.0,566.0,566.0,520.0,,520.0,509.0
CK706,Public Health Sciences,University College Cork (NUI),500.0,,500.0,454.0,,454.0,419.0
CK707,Medical and Health Sciences,University College Cork (NUI),578.0,,578.0,542.0,541.0,541.0,510.0
CK710,General Nursing,University College Cork (NUI),498.0,497.0,495.0,454.0,,454.0,440.0
CK712,Children`s and General Nursing (Integrated),University College Cork (NUI),565.0,,565.0,533.0,,533.0,499.0
CK720,Mental Health Nursing,University College Cork (NUI),455.0,452.0,452.0,423.0,,419.0,398.0
CK730,Intellectual Disability Nursing,University College Cork (NUI),431.0,,429.0,419.0,411.0,400.0,359.0
CK740,Midwifery,University College Cork (NUI),509.0,,509.0,484.0,,473.0,444.0
CK791,Medicine  - Graduate Entry (GAMSAT required),University College Cork (NUI),60.0,60.0,60.0,57.0,,57.0,58.0
AC120,International Business,American College,294.0,294.0,294.0,209.0,,209.0,234.0
AC137,Liberal Arts,American College,271.0,270.0,270.0,252.0,,252.0,252.0
CT125,Computing and IT,CCT College Dublin,242.0,242.0,242.0,220.0,,220.0,235.0
CT325,Business,CCT College Dublin,253.0,253.0,253.0,338.0,,281.0,
CM001,Education - Primary Teaching,Marino Institute of Education,508.0,,508.0,484.0,,484.0,452.0
CM002,Education - Primary Teaching - Gaeltacht Applicants,Marino Institute of Education,462.0,,462.0,,,,421.0
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,Marino Institute of Education,513.0,,513.0,528.0,,528.0,491.0
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),Marino Institute of Education,480.0,,480.0,494.0,,494.0,492.0
CM010,Education Studies,Marino Institute of Education,382.0,327.0,327.0,319.0,,317.0,317.0
CM020,Early Childhood Education,Marino Institute of Education,317.0,,317.0,327.0,,327.0,336.0
DB500,Computing,Dublin Business School,234.0,234.0,204.0,218.0,218.0,218.0,242.0
DB501,Computing (Cloud Computing),Dublin Business School,,178.0,178.0,227.0,227.0,227.0,326.0
DB502,Computing (Data Analytics and Big Data),Dublin Business School,267.0,233.0,233.0,341.0,341.0,334.0,269.0
DB503,Computing (Software Development),Dublin Business School,,,,225.0,225.0,225.0,242.0
DB504,Computing (Web and Mobile Technology),Dublin Business School,,,,,281.0,281.0,227.0
DB510,Audio Production and Music Project Management,Dublin Business School,217.0,217.0,217.0,234.0,223.0,223.0,233.0
DB512,Business Studies,Dublin Business School,243.0,210.0,210.0,218.0,203.0,203.0,229.0
DB514,Business Studies (Law),Dublin Business School,239.0,225.0,225.0,252.0,,251.0,269.0
DB515,Business Studies (Human Resource Management),Dublin Business School,242.0,217.0,217.0,244.0,244.0,244.0,225.0
DB517,Marketing (Event Management),Dublin Business School,233.0,225.0,225.0,238.0,,238.0,226.0
DB518,Marketing (Digital Media),Dublin Business School,307.0,209.0,209.0,,,,210.0
DB521,Accounting and Finance,Dublin Business School,243.0,228.0,228.0,225.0,195.0,195.0,225.0
DB524,Business (Information Systems),Dublin Business School,247.0,239.0,239.0,342.0,309.0,309.0,402.0
DB525,Marketing (Digital Media and Cloud Computing),Dublin Business School,288.0,288.0,288.0,,,,284.0
DB526,Business (Cloud Computing),Dublin Business School,244.0,244.0,244.0,347.0,,347.0,253.0
DB527,Applied Social Care,Dublin Business School,254.0,219.0,219.0,234.0,260.0,234.0,235.0
DB531,Marketing,Dublin Business School,288.0,176.0,176.0,293.0,,293.0,220.0
DB562,Psychology,Dublin Business School,244.0,233.0,233.0,243.0,229.0,229.0,208.0
DB566,Social Science,Dublin Business School,262.0,228.0,228.0,220.0,227.0,220.0,216.0
DB567,Film and Creative Media,Dublin Business School,245.0,213.0,213.0,218.0,202.0,202.0,192.0
DB568,Law,Dublin Business School,254.0,228.0,228.0,219.0,252.0,217.0,245.0
DB569,Business (Psychology),Dublin Business School,240.0,240.0,240.0,252.0,,252.0,279.0
DC001,Education - Early Childhood Education,Dublin City University,445.0,,445.0,440.0,,440.0,398.0
DC002,Education - Primary Teaching,Dublin City University,518.0,,518.0,488.0,,488.0,462.0
DC003,Education - Primary Teaching - Gaeltacht Applicants,Dublin City University,489.0,,496.0,445.0,,445.0,433.0
DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),Dublin City University,451.0,,451.0,411.0,409.0,409.0,357.0
DC009,Arts (Joint Honours) - Humanities,Dublin City University,356.0,,356.0,376.0,,376.0,347.0
DC010,Post Primary Teacher Education - Religious Education and English,Dublin City University,384.0,,384.0,441.0,429.0,429.0,386.0
DC011,Post Primary Teacher Education - Religious Education and History,Dublin City University,409.0,,409.0,412.0,391.0,391.0,352.0
DC012,Post Primary Teacher Education - Religious Education and Music,Dublin City University,409.0,,409.0,378.0,,378.0,367.0
DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,Dublin City University,413.0,,413.0,419.0,,419.0,410.0
DC014,BA in Jazz and Contemporary Music Performance (audition),Dublin City University,311.0,,311.0,419.0,,419.0,428.0
DC110,Business Studies International,Dublin City University,498.0,,498.0,465.0,,465.0,440.0
DC111,Business Studies,Dublin City University,511.0,,511.0,488.0,,488.0,463.0
DC112,Global Business (France),Dublin City University,542.0,,542.0,517.0,510.0,510.0,495.0
DC113,Global Business (Germany),Dublin City University,484.0,,484.0,462.0,,462.0,440.0
DC114,Global Business (Spain),Dublin City University,544.0,,544.0,522.0,,522.0,501.0
DC115,Accounting and Finance,Dublin City University,544.0,,544.0,510.0,,510.0,487.0
DC116,Global Business (USA),Dublin City University,613.0,,613.0,579.0,,579.0,578.0
DC117,Aviation Management / Aviation Management with Pilot Studies,Dublin City University,484.0,,484.0,476.0,475.0,475.0,463.0
DC118,Gnó agus Gaeilge / Business and Irish,Dublin City University,368.0,,368.0,359.0,,359.0,357.0
DC119,Global Business (Canada),Dublin City University,601.0,,601.0,564.0,,564.0,566.0
DC120,Computing for Business,Dublin City University,403.0,402.0,402.0,357.0,,357.0,350.0
DC121,Computer Science,Dublin City University,475.0,,476.0,400.0,,400.0,370.0
DC123,Data Science,Dublin City University,501.0,,501.0,465.0,,465.0,467.0
DC126,Actuarial Mathematics,Dublin City University,577.0,,577.0,560.0,,560.0,520.0
DC127,Common Entry into Actuarial and Financial Mathematics,Dublin City University,541.0,,541.0,532.0,520.0,520.0,509.0
DC131,Communication Studies,Dublin City University,421.0,,421.0,407.0,402.0,402.0,400.0
DC132,Journalism,Dublin City University,452.0,,452.0,429.0,422.0,422.0,401.0
DC133,Multimedia,Dublin City University,435.0,,435.0,411.0,410.0,410.0,403.0
DC155,Applied Language and Translation Studies,Dublin City University,427.0,,431.0,387.0,,387.0,371.0
DC161,Analytical Science,Dublin City University,498.0,,498.0,498.0,489.0,489.0,446.0
DC162,Chemical and Pharmaceutical Sciences,Dublin City University,531.0,,532.0,521.0,,521.0,488.0
DC163,Chemical Sciences General Entry (Undenominated Entry),Dublin City University,466.0,,466.0,,,,
DC166,Environmental Science and Technology,Dublin City University,423.0,,423.0,433.0,399.0,399.0,412.0
DC168,Genetics and Cell Biology,Dublin City University,543.0,,543.0,512.0,510.0,510.0,489.0
DC175,Physics General Entry (options),Dublin City University,400.0,,400.0,419.0,402.0,402.0,
DC180,Biological Sciences General Entry (Undenominated Entry),Dublin City University,530.0,,530.0,,,,
DC181,Biotechnology,Dublin City University,530.0,,530.0,499.0,495.0,495.0,476.0
DC190,Electronic and Computer Engineering (with choice of four majors),Dublin City University,488.0,,488.0,413.0,,413.0,391.0
DC193,Mechatronic Engineering,Dublin City University,490.0,,490.0,411.0,,411.0,404.0
DC194,Sustainable Systems and Energy,Dublin City University,476.0,,488.0,,,,
DC195,Mechanical and Manufacturing Engineering,Dublin City University,500.0,,500.0,425.0,,425.0,401.0
DC197,Biomedical Engineering,Dublin City University,510.0,,510.0,423.0,,423.0,402.0
DC200,Common Entry into Engineering (Undenominated Entry),Dublin City University,511.0,510.0,510.0,422.0,,422.0,381.0
DC202,Sport Science and Health,Dublin City University,511.0,,511.0,500.0,498.0,498.0,467.0
DC203,Science Education,Dublin City University,462.0,,462.0,435.0,,435.0,424.0
DC204,Athletic Therapy and Training,Dublin City University,558.0,,558.0,522.0,519.0,519.0,484.0
DC205,Physical Education with Biology,Dublin City University,565.0,,565.0,531.0,,531.0,490.0
DC206,Physical Education with Mathematics,Dublin City University,521.0,,521.0,499.0,,499.0,443.0
DC207,Psychology and Mathematics,Dublin City University,521.0,,521.0,,,,
DC208,Psychology,Dublin City University,565.0,,565.0,532.0,521.0,521.0,509.0
DC209,Health and Society,Dublin City University,477.0,,477.0,465.0,440.0,440.0,419.0
DC210,Psychology and Disruptive Technologies,Dublin City University,506.0,,506.0,,,,
DC215,General Nursing,Dublin City University,456.0,,456.0,454.0,433.0,433.0,414.0
DC216,Mental Health Nursing,Dublin City University,420.0,,420.0,418.0,403.0,403.0,368.0
DC217,Intellectual Disability Nursing,Dublin City University,382.0,,382.0,370.0,,370.0,347.0
DC218,Children`s and General Nursing (Integrated),Dublin City University,521.0,,521.0,500.0,498.0,498.0,467.0
DC230,"Economics, Politics and Law",Dublin City University,431.0,,431.0,435.0,,435.0,400.0
DC231,International Relations,Dublin City University,398.0,,399.0,397.0,,397.0,387.0
DC232,Law and Society (BCL),Dublin City University,469.0,,469.0,466.0,,466.0,453.0
DC235,Education and Training - Daytime and Flexible Delivery Mode (full-time),Dublin City University,302.0,,302.0,309.0,,309.0,307.0
DC238,Social Sciences and Cultural Innovation,Dublin City University,387.0,,387.0,377.0,,377.0,358.0
DC240,"Marketing, Innovation and Technology",Dublin City University,499.0,,499.0,476.0,474.0,474.0,451.0
DC241,Digital Business and Innovation,Dublin City University,509.0,,509.0,,,,
DC291,Arts (Joint Honours) - Media Studies,Dublin City University,350.0,,350.0,376.0,,376.0,349.0
DC292,Arts (Joint Honours) - Law,Dublin City University,400.0,,400.0,403.0,,403.0,356.0
DC293,Arts (Joint Honours) - International Languages,Dublin City University,379.0,,379.0,377.0,,377.0,369.0
DC294,Climate and Environmental Sustainability,Dublin City University,475.0,,475.0,,,,
DC295,Arts (Joint Honours) - Politics,Dublin City University,349.0,,349.0,376.0,,376.0,348.0
DL822,Arts Management,"Dun Laoghaire Institute of Art, Design and Technology",254.0,,254.0,229.0,229.0,235.0,209.0
DL823,Business Management,"Dun Laoghaire Institute of Art, Design and Technology",220.0,,220.0,235.0,,237.0,260.0
DL825,Applied Psychology,"Dun Laoghaire Institute of Art, Design and Technology",418.0,413.0,413.0,379.0,,379.0,349.0
DL826,Graphic Design,"Dun Laoghaire Institute of Art, Design and Technology",591.0,,591.0,855.0,,855.0,736.0
DL827,Art,"Dun Laoghaire Institute of Art, Design and Technology",574.0,,574.0,572.0,,572.0,583.0
DL832,Animation,"Dun Laoghaire Institute of Art, Design and Technology",989.0,,989.0,920.0,,920.0,855.0
DL833,Photography and Visual Media,"Dun Laoghaire Institute of Art, Design and Technology",671.0,671.0,665.0,650.0,,667.0,636.0
