,Course Code,Course Title,HEI,R1 Points,R2 Points ,EOS Points
271,CK740,Midwifery,University College Cork (NUI),509,,509
272,CK791,Medicine  - Graduate Entry (GAMSAT required),University College Cork (NUI),60,60,60
273,AC120,International Business,American College,294,294,294
274,AC137,Liberal Arts,American College,271,270,270
275,CT125,Computing and IT,CCT College Dublin,242,242,242
276,CT325,Business,CCT College Dublin,253,253,253
277,CM001,Education - Primary Teaching,Marino Institute of Education,508,,508
278,CM002,Education - Primary Teaching - Gaeltacht Applicants,Marino Institute of Education,462,,462
279,CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,Marino Institute of Education,513,,513
280,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),Marino Institute of Education,480,,480
281,CM010,Education Studies,Marino Institute of Education,382,327,327
282,CM020,Early Childhood Education,Marino Institute of Education,317,,317
286,DB500,Computing,Dublin Business School,234,234,204
287,DB501,Computing (Cloud Computing),Dublin Business School,,178,178
288,DB502,Computing (Data Analytics and Big Data),Dublin Business School,267,233,233
289,DB503,Computing (Software Development),Dublin Business School,,,
290,DB504,Computing (Web and Mobile Technology),Dublin Business School,,,
291,DB510,Audio Production and Music Project Management,Dublin Business School,217,217,217
292,DB512,Business Studies,Dublin Business School,243,210,210
293,DB514,Business Studies (Law),Dublin Business School,239,225,225
294,DB515,Business Studies (Human Resource Management),Dublin Business School,242,217,217
295,DB517,Marketing (Event Management),Dublin Business School,233,225,225
296,DB518,Marketing (Digital Media),Dublin Business School,307,209,209
297,DB521,Accounting and Finance,Dublin Business School,243,228,228
298,DB524,Business (Information Systems),Dublin Business School,247,239,239
299,DB525,Marketing (Digital Media and Cloud Computing),Dublin Business School,288,288,288
300,DB526,Business (Cloud Computing),Dublin Business School,244,244,244
301,DB527,Applied Social Care,Dublin Business School,254,219,219
303,DB531,Marketing,Dublin Business School,288,176,176
305,DB562,Psychology,Dublin Business School,244,233,233
307,DB566,Social Science,Dublin Business School,262,228,228
308,DB567,Film and Creative Media,Dublin Business School,245,213,213
309,DB568,Law,Dublin Business School,254,228,228
310,DB569,Business (Psychology),Dublin Business School,240,240,240
316,DC001,Education - Early Childhood Education,Dublin City University,445,,445
317,DC002,Education - Primary Teaching,Dublin City University,518,,518
318,DC003,Education - Primary Teaching - Gaeltacht Applicants,Dublin City University,489,,496
319,DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),Dublin City University,451,,451
320,DC009,Arts (Joint Honours) - Humanities,Dublin City University,356,,356
321,DC010,Post Primary Teacher Education - Religious Education and English,Dublin City University,384,,384
322,DC011,Post Primary Teacher Education - Religious Education and History,Dublin City University,409,,409
323,DC012,Post Primary Teacher Education - Religious Education and Music,Dublin City University,409,,409
324,DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,Dublin City University,413,,413
325,DC014,BA in Jazz and Contemporary Music Performance (audition),Dublin City University,311,,311
326,DC110,Business Studies International,Dublin City University,498,,498
327,DC111,Business Studies,Dublin City University,511,,511
328,DC112,Global Business (France),Dublin City University,542,,542
329,DC113,Global Business (Germany),Dublin City University,484,,484
330,DC114,Global Business (Spain),Dublin City University,544,,544
331,DC115,Accounting and Finance,Dublin City University,544,,544
332,DC116,Global Business (USA),Dublin City University,613,,613
333,DC117,Aviation Management / Aviation Management with Pilot Studies,Dublin City University,484,,484
334,DC118,Gnó agus Gaeilge / Business and Irish,Dublin City University,368,,368
335,DC119,Global Business (Canada),Dublin City University,601,,601
336,DC120,Computing for Business,Dublin City University,403,402,402
337,DC121,Computer Science,Dublin City University,475,,476
338,DC123,Data Science,Dublin City University,501,,501
339,DC126,Actuarial Mathematics,Dublin City University,577,,577
340,DC127,Common Entry into Actuarial and Financial Mathematics,Dublin City University,541,,541
341,DC131,Communication Studies,Dublin City University,421,,421
342,DC132,Journalism,Dublin City University,452,,452
343,DC133,Multimedia,Dublin City University,435,,435
344,DC155,Applied Language and Translation Studies,Dublin City University,427,,431
345,DC161,Analytical Science,Dublin City University,498,,498
346,DC162,Chemical and Pharmaceutical Sciences,Dublin City University,531,,532
347,DC163,Chemical Sciences General Entry (Undenominated Entry),Dublin City University,466,,466
348,DC166,Environmental Science and Technology,Dublin City University,423,,423
349,DC168,Genetics and Cell Biology,Dublin City University,543,,543
350,DC175,Physics General Entry (options),Dublin City University,400,,400
351,DC180,Biological Sciences General Entry (Undenominated Entry),Dublin City University,530,,530
352,DC181,Biotechnology,Dublin City University,530,,530
353,DC190,Electronic and Computer Engineering (with choice of four majors),Dublin City University,488,,488
