,Course Code,Course Title,HEI,R1 Points,R2 Points ,EOS Points
1137,LC292,Social Care Work,Limerick Institute of Technology,374,,374
1138,LC293,Business Studies with Travel and Tourism Management,Limerick Institute of Technology,271,264,264
1139,LC294,Business Studies with Event Management,Limerick Institute of Technology,279,,279
1140,LC295,Business Studies with Sports Management,Limerick Institute of Technology,262,,262
1141,LC297,Community and Addiction Studies,Limerick Institute of Technology,272,262,262
1142,LC320,Business,Limerick Institute of Technology,381,,381
1144,LC330,Business with Computing,Limerick Institute of Technology,328,308,308
1146,LC340,Interior Design,Limerick Institute of Technology,391,368,368
1147,LC362,Biotechnology and Biopharmaceutical Sciences,Limerick Institute of Technology,429,,429
1148,LC371,Creative Broadcast and Film Production,Limerick Institute of Technology,325,310,310
1149,LC372,Music Technology and Production,Limerick Institute of Technology,377,,377
1150,LC374,Renewable and Electrical Energy Engineering,Limerick Institute of Technology,337,319,319
1151,LC375,Industrial Automation and Robotic Systems,Limerick Institute of Technology,309,,309
1152,LC376,Electronic Engineering with Computer Systems,Limerick Institute of Technology,357,,357
1153,LC380,Automotive Engineering and Transport Management,Limerick Institute of Technology,298,,298
1154,LC392,Business Studies in Beauty and Spa Management,Limerick Institute of Technology,328,317,317
1155,LC393,Early Childhood Education and Care,Limerick Institute of Technology,309,276,276
1160,LC402,Social Care Work,Limerick Institute of Technology,228,,228
1161,LC408,Environmental Science and Climate,Limerick Institute of Technology,279,,279
1163,LC416,Business,Limerick Institute of Technology,260,,260
1164,LC418,Computing - Games Design and Development,Limerick Institute of Technology,260,256,256
1165,LC422,Applied Strength and Conditioning,Limerick Institute of Technology,289,,289
1168,LC502,Game Art and Design (portfolio),Limerick Institute of Technology,841,,841
1170,LC517,Creative Media and Design,Limerick Institute of Technology,279,,279
1171,LC518,Digital Animation Production (portfolio),Limerick Institute of Technology,807,,807
1173,LC612,Social Care Work,Limerick Institute of Technology,309,,309
1174,LM002,Arts,University of Limerick,360,360,360
1175,LM019,Social Sciences,University of Limerick,451,,451
1176,LM020,Law and Accounting,University of Limerick,474,,474
1177,LM026,Performing Arts (audition format TBC),University of Limerick,329,,329
1178,LM028,Criminal Justice,University of Limerick,420,,420
1179,LM029,Law Plus,University of Limerick,530,,530
1180,LM038,Psychology and Sociology,University of Limerick,530,,530
1181,LM039,Journalism and Digital Communication,University of Limerick,432,,432
1182,LM040,European Studies,University of Limerick,409,,409
1183,LM044,Applied Languages,University of Limerick,429,,429
1184,LM050,Business Studies (options),University of Limerick,451,,451
1185,LM056,International Business,University of Limerick,555,,555
1186,LM058,Financial Mathematics,University of Limerick,468,,468
1187,LM063,Technology Management,University of Limerick,410,,410
1188,LM066,Environmental Science,University of Limerick,430,,430
1189,LM068,Food Science and Health,University of Limerick,464,,464
1190,LM076,Product Design and Technology (portfolio required),University of Limerick,401,,401
1191,LM077,Aeronautical Engineering,University of Limerick,567,,567
1192,LM082,Construction Management and Engineering,University of Limerick,446,,446
1193,LM089,Sport and Exercise Sciences,University of Limerick,498,,498
1194,LM090,Physical Education with concurrent Teacher Education,University of Limerick,552,544,544
1195,LM091,Languages with concurrent Teacher Education,University of Limerick,506,,506
1196,LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),University of Limerick,521,,521
1197,LM093,Equine Science,University of Limerick,367,,367
1198,LM094,Materials and Architectural Technology with concurrent Teacher Education,University of Limerick,475,,475
1199,LM095,Materials and Engineering Technology with concurrent Teacher Education,University of Limerick,425,,425
1200,LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),University of Limerick,454,,454
1201,LM097,Mathematics and Computer Science with concurrent Teacher Education,University of Limerick,465,,465
1202,LM099,Architecture,University of Limerick,520,,520
1203,LM100,Physiotherapy,University of Limerick,613,,601
1204,LM101,Medicine  - Graduate Entry (GAMSAT required),University of Limerick,57,,57
1205,LM102,Psychology,University of Limerick,534,,534
1206,LM103,Paramedic Studies (Full B/Provisional C1 Drivers Licence),University of Limerick,429,,429
1207,LM105,Exercise and Health Fitness Management,University of Limerick,441,,441
1208,LM115,Chemical and Biochemical Engineering,University of Limerick,476,,476
1209,LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),University of Limerick,498,,498
1210,LM118,Electronic and Computer Engineering,University of Limerick,445,,445
1211,LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),University of Limerick,402,,402
1212,LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),University of Limerick,382,,382
1213,LM123,Biological and Chemical Sc. (Biosci/Envir Sci/Ind Bio/Pharma and In,University of Limerick,498,,498
1214,LM124,Mathematics (Math Science/Maths and Physics/Economics and Maths),University of Limerick,455,,455
1215,LM125,Physics (Applied Physics or Mathematics and Physics),University of Limerick,489,,489
1216,LM150,General Nursing,University of Limerick,498,487,474
1217,LM152,Mental Health Nursing,University of Limerick,478,466,440
1218,LM154,Intellectual Disability Nursing,University of Limerick,462,443,433
1219,LM156,Midwifery,University of Limerick,521,508,498
1221,MU001,Theology and Arts,"Pontifical University, St Patrick's College",294,294,291
1222,MU002,Theology,"Pontifical University, St Patrick's College",,,411
1223,MH001,Education - Primary Teaching (Froebel),Maynooth University,564,,556
1224,MH002,Education - Primary Teaching - Gaeltacht Applicants (Froebel),Maynooth University,,,
1225,MH003,Early Childhood - Teaching and Learning (full-time),Maynooth University,381,,381
1226,MH101,Arts,Maynooth University,338,336,336
1227,MH103,Music,Maynooth University,#,,#
1228,MH106,Psychology - 3 years,Maynooth University,554,,552
1229,MH107,Social Science,Maynooth University,390,,390
1230,MH109,Media Studies,Maynooth University,324,,324
1231,MH116,Community and Youth Work (Full-Time),Maynooth University,#,,#
1232,MH201,Science,Maynooth University,401,400,397
1233,MH202,Biotechnology,Maynooth University,490,489,489
1234,MH203,Biological and Geographical Sciences,Maynooth University,451,,451
1235,MH204,Physics with Astrophysics,Maynooth University,422,,422
1236,MH206,Theoretical Physics and Mathematics,Maynooth University,521,,521
1237,MH207,Data Science,Maynooth University,444,,444
1238,MH208,Biological and Biomedical Sciences,Maynooth University,543,,533
1239,MH209,Psychology (through Science) - 4 years,Maynooth University,529,,517
1240,MH210,Pharmaceutical and Biomedical Chemistry,Maynooth University,510,,510
1241,MH212,Science|Maths and Computer Science|Mathematics (with Education),Maynooth University,452,443,434
1242,MH304,Engineering (Computer/Electronic/Communications),Maynooth University,351,351,351
1243,MH305,Product Design,Maynooth University,326,,326
1244,MH306,Robotics and Intelligent Devices,Maynooth University,362,,362
1245,MH401,Finance (options),Maynooth University,370,,370
1246,MH402,Quantitative Finance,Maynooth University,476,,476
1247,MH403,Accounting and Finance,Maynooth University,424,,424
1248,MH404,Business (options),Maynooth University,441,,441
1249,MH407,Business and Accounting,Maynooth University,423,,423
1250,MH411,Entrepreneurship,Maynooth University,378,,378
1251,MH501,LLB Law - four year Single Major Law programme,Maynooth University,507,,507
1252,MH502,Law (options),Maynooth University,465,,465
1253,MH601,Computer Science through Arts (options),Maynooth University,381,,381
1254,MH602,Computer Science through Science (options),Maynooth University,400,,400
1255,MH603,Computational Thinking,Maynooth University,520,,520
1256,MH801,Early Childhood - Teaching and Learning (part-time),Maynooth University,AQA,AQA,AQA
1257,MH802,"Community and Youth Work (part-time, in service)",Maynooth University,,,
1258,MH803,"Local Studies/Community Studies (part-time, evening) - Mature Students",Maynooth University,,,
1259,AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",St. Angela`s College,542,533,532
1260,AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",St. Angela`s College,464,452,441
1261,AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",St. Angela`s College,463,457,440
1262,AS051,"Nutrition, Food and Business Management",St. Angela`s College,378,347,291
1263,AS054,Home Economics,St. Angela`s College,440,419,368
1264,AS110,General Nursing,St. Angela`s College,440,432,422
1265,AS130,Intellectual Disability Nursing,St. Angela`s College,387,358,348
1275,SG141,Business,"Institute of Technology, Sligo",262,,262
1276,SG145,Business and ICT,"Institute of Technology, Sligo",279,,279
1277,SG146,Accounting,"Institute of Technology, Sligo",304,,304
1278,SG147,Sport with Business,"Institute of Technology, Sligo",288,,288
1279,SG148,Tourism with Event Management,"Institute of Technology, Sligo",298,,298
1280,SG150,Business in Marketing,"Institute of Technology, Sligo",298,,298
1285,SG241,Performing Arts,"Institute of Technology, Sligo",341,,341
1286,SG242,Early Childhood Care and Education,"Institute of Technology, Sligo",287,,287
1287,SG243,Social Care Practice,"Institute of Technology, Sligo",309,,309
1288,SG244,Fine Art,"Institute of Technology, Sligo",501,,501
1289,SG245,Creative Design,"Institute of Technology, Sligo",332,,332
1290,SG246,Computing,"Institute of Technology, Sligo",316,,316
1291,SG247,English and Psychology,"Institute of Technology, Sligo",319,,319
1292,SG248,Sociology and Politics,"Institute of Technology, Sligo",298,,298
1293,SG249,Writing and Literature,"Institute of Technology, Sligo",308,,308
1294,SG252,Software Development,"Institute of Technology, Sligo",310,,310
1295,SG253,Computing in Computer Networks and Cyber Security,"Institute of Technology, Sligo",336,,336
1296,SG254,Writing and Literature Online,"Institute of Technology, Sligo",327,,327
1297,SG255,Law and Business,"Institute of Technology, Sligo",291,,291
1310,SG341,General Engineering,"Institute of Technology, Sligo",373,,373
1311,SG342,Civil Engineering,"Institute of Technology, Sligo",418,,418
1312,SG343,Quantity Surveying,"Institute of Technology, Sligo",300,,300
1313,SG344,Mechanical Engineering,"Institute of Technology, Sligo",412,,412
1314,SG346,Construction Project Management and Applied Technology,"Institute of Technology, Sligo",313,,313
1315,SG347,Architecture,"Institute of Technology, Sligo",403,,403
1316,SG348,Interior Architecture and Design,"Institute of Technology, Sligo",359,,359
1317,SG349,Electronics and Self Driving Technologies,"Institute of Technology, Sligo",,,
1318,SG350,Robotics and Automation,"Institute of Technology, Sligo",384,,384
1329,SG442,Occupational Safety and Health,"Institute of Technology, Sligo",307,,307
1330,SG443,Human Nutrition,"Institute of Technology, Sligo",376,,376
1331,SG444,Science Undenominated,"Institute of Technology, Sligo",358,,358
1332,SG445,Pharmaceutical Science with Drug Development,"Institute of Technology, Sligo",357,,357
1333,SG447,Health Science and Physical Activity,"Institute of Technology, Sligo",326,,326
1334,SG448,Forensic Investigation and Analysis,"Institute of Technology, Sligo",308,,308
1335,SG449,Medical Biotechnology,"Institute of Technology, Sligo",315,,315
1336,SG450,Environmental Science with Ecology (Level 8),"Institute of Technology, Sligo",310,,310
1362,TL801,"Animation, Visual Effects and Motion Design (Level 8, portfolio)","Institute of Technology, Tralee",718,,718
1363,TL802,"TV, Radio and New Media (Level 8)","Institute of Technology, Tralee",322,,322
1364,TL810,Computing with Software Development,"Institute of Technology, Tralee",308,,308
1365,TL811,Computing with Games Development,"Institute of Technology, Tralee",322,,322
1366,TL815,Computing (Degree Award options),"Institute of Technology, Tralee",307,,307
1367,TL823,Event Management (3 year programme),"Institute of Technology, Tralee",293,,293
1368,TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),"Institute of Technology, Tralee",306,,306
1369,TL842,Construction Management,"Institute of Technology, Tralee",,,
1370,TL844,Agricultural Engineering,"Institute of Technology, Tralee",301,,301
1371,TL845,Civil Engineering,"Institute of Technology, Tralee",361,,361
1372,TL847,Manufacturing Engineering,"Institute of Technology, Tralee",305,,305
1373,TL848,Agricultural Science,"Institute of Technology, Tralee",307,,307
1374,TL851,Wildlife Biology (Degree Award options),"Institute of Technology, Tralee",309,,309
1375,TL855,Pharmaceutical Science (Degree Award options),"Institute of Technology, Tralee",316,,316
1376,TL858,Veterinary Bioscience,"Institute of Technology, Tralee",317,,317
1377,TL871,Health and Leisure (Degree Award options),"Institute of Technology, Tralee",303,,303
1378,TL872,Health and Leisure with Massage,"Institute of Technology, Tralee",314,,314
1379,TL873,Coaching and Sports Performance,"Institute of Technology, Tralee",308,,308
1380,TL874,Inclusive Sport and Physical Activity,"Institute of Technology, Tralee",341,,341
1381,TL880,Early Childhood Care and Education,"Institute of Technology, Tralee",309,,309
1382,TL881,Social Care,"Institute of Technology, Tralee",301,,301
1383,TL889,Counselling with Addiction - Mature applicants only,"Institute of Technology, Tralee",,,
1384,TL890,General Nursing and Mature Applicants,"Institute of Technology, Tralee",463,,463
1385,TL891,Mental Health Nursing and Mature Applicants,"Institute of Technology, Tralee",440,419,412
1386,WD001,Applied Computing (options),Waterford Institute of Technology,270,261,261
1387,WD002,Science (options),Waterford Institute of Technology,279,,279
1389,WD005,Health Sciences (options),Waterford Institute of Technology,271,,271
1390,WD006,Exercise Sciences (options),Waterford Institute of Technology,270,,270
1391,WD007,Engineering (options),Waterford Institute of Technology,270,270,270
1397,WD025,Construction Management and Engineering,Waterford Institute of Technology,262,,262
1398,WD027,Music,Waterford Institute of Technology,321,,321
1399,WD048,Business (options),Waterford Institute of Technology,279,,279
1401,WD084,Accounting,Waterford Institute of Technology,308,,308
1402,WD091,Hospitality Management,Waterford Institute of Technology,225,,225
1406,WD116,General Nursing,Waterford Institute of Technology,446,,446
1407,WD117,Psychiatric Nursing,Waterford Institute of Technology,415,,415
1408,WD120,Intellectual Disability Nursing,Waterford Institute of Technology,390,,390
1410,WD134,International Business,Waterford Institute of Technology,267,,267
1411,WD137,Design (Visual Communications),Waterford Institute of Technology,252,,252
1412,WD140,Laws,Waterford Institute of Technology,280,,280
1413,WD144,Architecture,Waterford Institute of Technology,309,,309
1414,WD147,Pharmaceutical Science,Waterford Institute of Technology,288,,288
1415,WD150,Criminal Justice Studies,Waterford Institute of Technology,280,,280
1417,WD152,Visual Art,Waterford Institute of Technology,243,,243
1421,WD161,Computer Forensics and Security,Waterford Institute of Technology,270,,270
1422,WD162,Quantity Surveying,Waterford Institute of Technology,226,,226
1423,WD163,Psychology,Waterford Institute of Technology,456,,456
1432,WD186,Sports Coaching and Performance,Waterford Institute of Technology,261,,261
1433,WD187,Social Science,Waterford Institute of Technology,276,,276
1435,WD191,Agricultural Science,Waterford Institute of Technology,377,,377
1436,WD192,Social Care Practice,Waterford Institute of Technology,271,,271
1437,WD193,Marketing and Digital Media,Waterford Institute of Technology,279,,279
1438,WD194,Culinary Arts,Waterford Institute of Technology,237,,237
1439,WD195,Architectural and Building Information Modelling Technology,Waterford Institute of Technology,279,,279
1440,WD200,Arts (options),Waterford Institute of Technology,201,201,201
1445,WD210,Software Systems Development,Waterford Institute of Technology,260,,260
1446,WD211,Creative Computing,Waterford Institute of Technology,270,,270
1447,WD212,Recreation and Sport Management,Waterford Institute of Technology,262,,262
1448,WD230,Mechanical and Manufacturing Engineering,Waterford Institute of Technology,230,230,230
1449,WD231,Early Childhood Care and Education,Waterford Institute of Technology,266,,266
1450,WD232,Business Information Systems,Waterford Institute of Technology,261,261,261
