,COURSE CODE2,COURSE TITLE,HEI,R1 POINTS,R2 POINTS,EOS
952,NM801,Montessori Education,St Nicholas Montessori College Ireland,220,,220
953,PC402,Arts and Humanities,"Carlow College, St. Patrick`s",200,121,80
954,PC404,Applied Social Studies - Professional Social Care,"Carlow College, St. Patrick`s",217,197,175
955,PC405,"Social, Political and Community Studies","Carlow College, St. Patrick`s",253,216,216
956,PC410,Arts and Humanities (fulfils Teaching Council requirements),"Carlow College, St. Patrick`s",252,209,209
957,PC411,English and History (fulfils Teaching Council requirements),"Carlow College, St. Patrick`s",255,209,209
958,RC001,Medicine - Undergraduate Entry (HPAT required),RCSI University of Medicine & Health Sciences,733,,733
959,RC004,Physiotherapy,RCSI University of Medicine & Health Sciences,566,,566
960,RC005,Pharmacy,RCSI University of Medicine & Health Sciences,579,,578
961,RC101,Medicine - Graduate Entry (GAMSAT required),RCSI University of Medicine & Health Sciences,,,61
962,SG101,Business,"Institute of Technology, Sligo",160,160,160
963,SG102,Computing (Level 6 - General Entry),"Institute of Technology, Sligo",254,,254
964,SG131,Computing - Games Development,"Institute of Technology, Sligo",280,,280
965,SG134,Applied Sport with Business,"Institute of Technology, Sligo",215,,215
966,SG135,Business in Tourism with Event Management,"Institute of Technology, Sligo",187,,187
967,SG136,Computing - Software Development,"Institute of Technology, Sligo",272,,272
968,SG137,Computing (Computer Networks and Cloud Infrastructure),"Institute of Technology, Sligo",324,,326
969,SG138,Computing (Level 7 - General Entry),"Institute of Technology, Sligo",260,,260
970,SG141,Business,"Institute of Technology, Sligo",261,,261
971,SG142,Business in International Marketing and Languages (French),"Institute of Technology, Sligo",279,,279
972,SG144,Business in International Marketing and Languages (Spanish),"Institute of Technology, Sligo",270,,270
973,SG146,Accounting,"Institute of Technology, Sligo",309,,309
974,SG147,Sport with Business,"Institute of Technology, Sligo",307,,307
975,SG148,Tourism with Event Management,"Institute of Technology, Sligo",269,,269
976,SG231,Fine Art,"Institute of Technology, Sligo",449,449,449
977,SG232,Creative Design,"Institute of Technology, Sligo",273,,276
978,SG235,Performing Arts (Theatre Design),"Institute of Technology, Sligo",319,,319
979,SG236,Performing Arts (Acting),"Institute of Technology, Sligo",235,,235
980,SG241,Performing Arts,"Institute of Technology, Sligo",328,,328
981,SG242,Early Childhood Care and Education,"Institute of Technology, Sligo",279,,279
982,SG243,Social Care Practice,"Institute of Technology, Sligo",301,,301
983,SG244,Fine Art,"Institute of Technology, Sligo",505,,505
984,SG245,Creative Design,"Institute of Technology, Sligo",282,,282
985,SG246,Computing,"Institute of Technology, Sligo",290,,290
986,SG247,English and Psychology,"Institute of Technology, Sligo",309,,309
987,SG248,Sociology and Politics,"Institute of Technology, Sligo",281,,281
988,SG249,Writing and Literature,"Institute of Technology, Sligo",297,,297
989,SG250,Application Design and User Experience,"Institute of Technology, Sligo",412,,412
990,SG251,Computing (Smart Technologies),"Institute of Technology, Sligo",327,,342
991,SG252,Software Development,"Institute of Technology, Sligo",307,,307
992,SG253,Computer Networks and Cloud Infrastructure,"Institute of Technology, Sligo",324,,378
993,SG254,Writing and Literature Online,"Institute of Technology, Sligo",225,225,225
994,SG300,Engineering (General Entry),"Institute of Technology, Sligo",209,,209
995,SG302,Construction Economics,"Institute of Technology, Sligo",184,,184
996,SG308,Applied Construction Technology,"Institute of Technology, Sligo",171,,171
997,SG330,Engineering (General Entry),"Institute of Technology, Sligo",243,,243
998,SG331,Interior Architecture and Design,"Institute of Technology, Sligo",236,,236
999,SG332,Advanced Wood and Sustainable Building Technology,"Institute of Technology, Sligo",208,,208
1000,SG333,Mechanical Engineering,"Institute of Technology, Sligo",216,,216
1001,SG334,Mechatronic Engineering,"Institute of Technology, Sligo",290,,290
1002,SG336,Precision Engineering and Design,"Institute of Technology, Sligo",309,,309
1003,SG338,Civil Engineering,"Institute of Technology, Sligo",245,,245
1004,SG339,Quantity Surveying,"Institute of Technology, Sligo",195,,195
1005,SG342,Civil Engineering,"Institute of Technology, Sligo",415,,415
1006,SG343,Quantity Surveying,"Institute of Technology, Sligo",311,,311
1007,SG346,Construction Project Management and Applied Technology,"Institute of Technology, Sligo",291,,291
1008,SG347,Architecture,"Institute of Technology, Sligo",360,,360
1009,SG348,Interior Architecture and Design,"Institute of Technology, Sligo",316,,331
1010,SG401,Science,"Institute of Technology, Sligo",209,209,209
1011,SG404,Environmental Science with Ecology (Level 6),"Institute of Technology, Sligo",264,264,358
1012,SG406,Health and Exercise Science,"Institute of Technology, Sligo",367,,367
1013,SG431,Pharmaceutical Science with Drug Development,"Institute of Technology, Sligo",269,,269
1014,SG433,Occupational Safety and Health,"Institute of Technology, Sligo",223,,223
1015,SG434,Human Nutrition,"Institute of Technology, Sligo",280,,280
1016,SG435,Health Science and Physiology,"Institute of Technology, Sligo",289,,289
1017,SG436,Biomedical Science,"Institute of Technology, Sligo",262,,262
1018,SG437,Forensic Investigation and Analysis,"Institute of Technology, Sligo",243,,243
1019,SG439,Environmental Science with Ecology (Level 7),"Institute of Technology, Sligo",254,,254
1020,SG442,Occupational Safety and Health,"Institute of Technology, Sligo",290,,290
1021,SG443,Human Nutrition,"Institute of Technology, Sligo",356,,356
1022,SG444,Science Undenominated,"Institute of Technology, Sligo",338,,338
1023,SG445,Pharmaceutical Science with Drug Development,"Institute of Technology, Sligo",311,,311
1024,SG447,Health Science and Physical Activity,"Institute of Technology, Sligo",328,,328
1025,SG448,Forensic Investigation and Analysis,"Institute of Technology, Sligo",306,,307
1026,SG449,Medical Biotechnology,"Institute of Technology, Sligo",341,,341
1027,SG450,Environmental Science with Ecology (Level 8),"Institute of Technology, Sligo",300,,304
1028,SG530,Health and Medical Information Science (Online),"Institute of Technology, Sligo",285,285,285
1029,SG535,Business Administration,"Institute of Technology, Sligo",228,,228
1030,SG536,Business,"Institute of Technology, Sligo",223,,223
1031,SG537,Marketing and Sales,"Institute of Technology, Sligo",234,,234
1032,TL620,Culinary Arts,"Institute of Technology, Tralee",189,189,189
1033,TL651,Science (Biological and Environmental Studies),"Institute of Technology, Tralee",223,223,233
1034,TL652,Pharmacy Technician,"Institute of Technology, Tralee",260,,260
1035,TL701,"Animation, Visual Effects and Motion Design (Level 7)","Institute of Technology, Tralee",228,,228
1036,TL702,"TV, Radio and New Media (Level 7)","Institute of Technology, Tralee",243,,243
1037,TL710,Computing with Software Development,"Institute of Technology, Tralee",232,,232
1038,TL711,Computing with Games Development,"Institute of Technology, Tralee",224,,224
1039,TL715,Computing (Degree Award options),"Institute of Technology, Tralee",251,,251
1040,TL716,Computer Systems and Networking,"Institute of Technology, Tralee",269,,269
1041,TL731,Business (Major Specialism in: Acctng or Mktg or Mgmnt),"Institute of Technology, Tralee",219,,219
1042,TL743,Agricultural Mechanisation,"Institute of Technology, Tralee",,,
1043,TL744,Agricultural Engineering,"Institute of Technology, Tralee",243,,243
1044,TL745,Civil and Environmental Engineering,"Institute of Technology, Tralee",261,261,145
1045,TL747,Engineering in Mechanical and Manufacturing Engineering,"Institute of Technology, Tralee",200,,200
1046,TL748,Agricultural Science,"Institute of Technology, Tralee",249,,249
1047,TL755,Pharmaceutical Science (Degree Award options),"Institute of Technology, Tralee",261,,261
1048,TL758,Animal Bioscience,"Institute of Technology, Tralee",251,,261
1049,TL771,Health and Leisure (Degree Award Options),"Institute of Technology, Tralee",208,,208
1050,TL772,Health and Leisure with Massage,"Institute of Technology, Tralee",218,,218
1051,TL773,Coaching and Sports Performance,"Institute of Technology, Tralee",106,106,106
1052,TL780,Early Childhood Care and Education,"Institute of Technology, Tralee",234,,234
1053,TL781,Social Care,"Institute of Technology, Tralee",225,,225
1054,TL801,"Animation, Visual Effects and Motion Design (Level 8)","Institute of Technology, Tralee",281,,281
1055,TL802,"TV, Radio and New Media (Level 8)","Institute of Technology, Tralee",325,,325
1056,TL810,Computing with Software Development,"Institute of Technology, Tralee",310,,310
1057,TL811,Computing with Games Development,"Institute of Technology, Tralee",358,,358
1058,TL815,Computing (Degree Award options),"Institute of Technology, Tralee",308,,308
1059,TL823,Event Management (3 year programme),"Institute of Technology, Tralee",299,,299
1060,TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),"Institute of Technology, Tralee",306,,306
1061,TL844,Agricultural Engineering,"Institute of Technology, Tralee",300,,300
1062,TL845,Civil Engineering,"Institute of Technology, Tralee",325,,325
1063,TL847,Manufacturing Engineering,"Institute of Technology, Tralee",302,,302
1064,TL848,Agricultural Science,"Institute of Technology, Tralee",308,,308
1065,TL851,Wildlife Biology (Degree Award options),"Institute of Technology, Tralee",309,,309
1066,TL855,Pharmaceutical Science (Degree Award options),"Institute of Technology, Tralee",317,,317
1067,TL858,Veterinary Bioscience,"Institute of Technology, Tralee",308,,308
1068,TL871,Health and Leisure (Degree Award options),"Institute of Technology, Tralee",300,,300
1069,TL872,Health and Leisure with Massage,"Institute of Technology, Tralee",309,,309
1070,TL873,Coaching and Sports Performance,"Institute of Technology, Tralee",289,,289
1071,TL880,Early Childhood Care and Education,"Institute of Technology, Tralee",307,,307
1072,TL881,Social Care,"Institute of Technology, Tralee",308,,309
1073,TL889,Counselling with Addiction - Mature applicants only,"Institute of Technology, Tralee",,,
1074,TL890,General Nursing and Mature Applicants,"Institute of Technology, Tralee",440,414,414
1075,TL891,Mental Health Nursing and Mature Applicants,"Institute of Technology, Tralee",389,378,378
1076,TR002,Music,Trinity College Dublin,435,429,382
1077,TR003,History,Trinity College Dublin,497,493,456
1078,TR004,Law,Trinity College Dublin,566,565,565
1079,TR005,Philosophy,Trinity College Dublin,442,,442
1080,TR006,Psychology,Trinity College Dublin,567,555,555
1081,TR007,Clinical Speech and Language Studies,Trinity College Dublin,529,,529
1082,TR009,Music Education,Trinity College Dublin,420,,420
1083,TR012,History and Political Science,Trinity College Dublin,555,554,552
1084,TR015,"Philosophy, Political Science, Economics and Sociology",Trinity College Dublin,589,,589
1085,TR016,Deaf Studies,Trinity College Dublin,340,,329
1086,TR017,Law and Business,Trinity College Dublin,602,,602
1087,TR018,Law and French,Trinity College Dublin,565,,565
1088,TR019,Law and German,Trinity College Dublin,543,542,542
1089,TR020,Law and Political Science,Trinity College Dublin,602,,601
1090,TR021,"Classics, Ancient History and Archaeology",Trinity College Dublin,370,,370
1091,TR022,Early and Modern Irish,Trinity College Dublin,398,,398
1092,TR023,English Studies,Trinity College Dublin,487,476,474
1093,TR024,European Studies,Trinity College Dublin,544,542,530
1094,TR025,Drama and Theatre Studies,Trinity College Dublin,564,530,530
1095,TR028,Ancient and Medieval History and Culture,Trinity College Dublin,342,,342
1096,TR029,Political Science and Geography,Trinity College Dublin,526,520,510
1097,TR031,Mathematics,Trinity College Dublin,531,,531
1098,TR032,Engineering,Trinity College Dublin,510,509,508
1099,TR033,Computer Science,Trinity College Dublin,509,,509
1100,TR034,Management Science and Information Systems Studies,Trinity College Dublin,613,,613
1101,TR035,Theoretical Physics,Trinity College Dublin,543,,543
1102,TR038,Engineering with Management,Trinity College Dublin,532,,532
1103,TR039,Computer Science and Language,Trinity College Dublin,454,424,424
1104,TR040,Middle Eastern and European Languages and Cultures,Trinity College Dublin,466,,466
1105,TR041,Religion,Trinity College Dublin,368,,368
1106,TR042,Film,Trinity College Dublin,489,476,466
1107,TR043,History of Art and Architecture,Trinity College Dublin,393,354,354
1108,TR051,Medicine (HPAT required),Trinity College Dublin,735,734,734
1109,TR052,Dental Science,Trinity College Dublin,613,613,613
1110,TR053,Physiotherapy,Trinity College Dublin,566,566,566
1111,TR054,Occupational Therapy,Trinity College Dublin,533,,533
1112,TR055,Radiation Therapy,Trinity College Dublin,543,,543
1113,TR056,Human Health and Disease,Trinity College Dublin,565,,564
1114,TR060,Biological and Biomedical Sciences,Trinity College Dublin,543,543,543
1115,TR061,Chemical Sciences,Trinity College Dublin,517,510,510
1116,TR062,Geography and Geoscience,Trinity College Dublin,473,,473
1117,TR063,Physical Sciences,Trinity College Dublin,498,498,477
1118,TR072,Pharmacy,Trinity College Dublin,590,,590
1119,TR080,Global Business,Trinity College Dublin,589,,589
1120,TR081,"Business, Economic and Social Studies (BESS)",Trinity College Dublin,543,543,543
1121,TR082,Computer Science and Business,Trinity College Dublin,555,,555
1122,TR083,Sociology and Social Policy,Trinity College Dublin,498,487,478
1123,TR084,Social Studies (Social Work),Trinity College Dublin,462,,462
1124,TR085,Business Studies and French,Trinity College Dublin,540,531,521
1125,TR086,Business Studies and German,Trinity College Dublin,509,499,499
1126,TR087,Business Studies and Russian,Trinity College Dublin,474,465,456
1127,TR089,Business Studies and Polish,Trinity College Dublin,444,424,424
1128,TR090,Business Studies and Spanish,Trinity College Dublin,531,,531
1129,TR091,General Nursing (Meath and St James`s),Trinity College Dublin,429,,429
1130,TR093,General Nursing (Adelaide School of Nursing),Trinity College Dublin,430,429,414
1131,TR095,Mental Health Nursing,Trinity College Dublin,408,,408
1132,TR097,Intellectual Disability Nursing,Trinity College Dublin,396,,378
1133,TR111,Ancient History and Archaeology/Geography,Trinity College Dublin,352,,352
1134,TR112,Ancient History and Archaeology/History,Trinity College Dublin,529,,529
1135,TR113,Ancient History and Archaeology/History of Art and Architecture,Trinity College Dublin,337,,337
1136,TR114,Ancient History and Archaeology/Modern Language,Trinity College Dublin,337,,337
1137,TR117,Ancient History and Archaeology/Religion,Trinity College Dublin,342,,342
1138,TR166,Classical Civilisation/English Literature,Trinity College Dublin,498,496,496
1139,TR173,Classical Civilisation/History of Art and Architecture,Trinity College Dublin,335,,335
1140,TR177,Classical Civilisation/Modern Language,Trinity College Dublin,335,,335
1141,TR179,Classical Civilisation/Philosophy,Trinity College Dublin,499,,479
1142,TR198,Economics/Geography,Trinity College Dublin,534,,534
1143,TR202,Economics/History,Trinity College Dublin,534,,534
1144,TR207,Economics/Mathematics,Trinity College Dublin,566,,566
1145,TR208,Economics/Modern Language,Trinity College Dublin,534,,534
1146,TR209,Economics/Philosophy,Trinity College Dublin,534,,534
1147,TR212,Economics/Sociology,Trinity College Dublin,534,,534
1148,TR228,Classical Languages/English Literature,Trinity College Dublin,498,,498
1149,TR231,Classical Languages/History of Art and Architecture,Trinity College Dublin,349,,349
1150,TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",Trinity College Dublin,349,,349
1151,TR239,Classical Languages/Modern Language,Trinity College Dublin,349,,349
1152,TR262,English Literature/History,Trinity College Dublin,529,,529
1153,TR263,English Literature/History of Art and Architecture,Trinity College Dublin,498,497,497
1154,TR269,English Literature/Philosophy,Trinity College Dublin,499,,495
1155,TR272,English Literature/Sociology,Trinity College Dublin,498,,498
1156,TR276,English Literature/Drama Studies,Trinity College Dublin,#498,,#476
1157,TR277,English Literature/Modern Language,Trinity College Dublin,498,495,489
1158,TR311,Film/Drama Studies,Trinity College Dublin,#521,,#521
1159,TR312,Film/English Literature,Trinity College Dublin,521,,521
1160,TR320,Film/Music,Trinity College Dublin,521,,521
1161,TR322,Geography/History,Trinity College Dublin,529,,529
1162,TR323,Drama Studies/Modern Language,Trinity College Dublin,#473,,#473
1163,TR324,Film/Modern Language,Trinity College Dublin,521,,521
1164,TR325,Film/History,Trinity College Dublin,529,,529
1165,TR326,Geography/Modern Language,Trinity College Dublin,352,,352
1166,TR332,Geography/Sociology,Trinity College Dublin,498,496,496
1167,TR443,History/History of Art and Architecture,Trinity College Dublin,529,,529
1168,TR447,History/Modern Language,Trinity College Dublin,529,,529
1169,TR449,History/Philosophy,Trinity College Dublin,529,,529
1170,TR452,History/Sociology,Trinity College Dublin,529,,529
1171,TR454,History/Religion,Trinity College Dublin,529,,529
1172,TR455,History of Art and Architecture/Modern Language,Trinity College Dublin,334,,334
1173,TR479,History of Art and Architecture/Philosophy,Trinity College Dublin,499,,485
1174,TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",Trinity College Dublin,337,,337
1175,TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",Trinity College Dublin,335,,335
1176,TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",Trinity College Dublin,529,,529
1177,TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",Trinity College Dublin,335,,335
1178,TR564,"Middle Eastern,Jewish and Islamic Civilisations/Music",Trinity College Dublin,,,
1179,TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",Trinity College Dublin,342,,342
1180,TR597,Mathematics/Modern Language,Trinity College Dublin,566,,566
1181,TR598,Mathematics/Music,Trinity College Dublin,566,,566
1182,TR599,Mathematics/Philosophy,Trinity College Dublin,566,,566
1183,TR629,Music/Philosophy,Trinity College Dublin,499,,499
1184,TR635,Music/Drama Studies,Trinity College Dublin,#473,,#473
1185,TR636,Music/Modern Language,Trinity College Dublin,388,,388
1186,TR638,Music/Religion,Trinity College Dublin,388,,388
1187,TR639,Philosophy/Modern Language,Trinity College Dublin,499,,499
1188,TR662,Philosophy/Sociology,Trinity College Dublin,499,,499
1189,TR663,Religion/Classical Civilisation,Trinity College Dublin,342,,342
1190,TR664,Religion/English Literature,Trinity College Dublin,498,,498
1191,TR665,Religion/History of Art and Architecture,Trinity College Dublin,342,,342
1192,TR666,Religion/Modern Language,Trinity College Dublin,,,
1193,TR667,French/Modern Language,Trinity College Dublin,403,,403
1194,TR668,German/Modern Language,Trinity College Dublin,389,,389
1195,TR669,Irish/Modern Language,Trinity College Dublin,368,,368
1196,TR670,Italian/Modern Language,Trinity College Dublin,381,,381
1197,TR671,Russian/Modern Language,Trinity College Dublin,332,,332
1198,TR672,Spanish/Modern Language,Trinity College Dublin,336,,336
1199,TR755,Sociology/Drama Studies,Trinity College Dublin,#498,,#498
1200,TR756,Sociology/Modern Language,Trinity College Dublin,498,495,495
1201,TR801,Dental Nursing,Trinity College Dublin,436,419,367
1202,TR802,Dental Hygiene,Trinity College Dublin,#543,#511,#498
1203,TR803,Dental Technology,Trinity College Dublin,#531,#486,#359
1204,TR911,Children`s and General Nursing (Integrated),Trinity College Dublin,511,510,499
1205,TR913,Midwifery,Trinity College Dublin,478,477,473
1206,TU601,Electronic Engineering,Technological University Dublin,232,,230
1207,TU602,Computer Engineering,Technological University Dublin,223,,223
1208,TU603,Mechanical Engineering,Technological University Dublin,197,197,197
1209,TU641,Bar and Restaurant Management,Technological University Dublin,223,,223
1210,TU642,Culinary Arts,Technological University Dublin,153,,153
1211,TU643,Culinary Arts (Professional Cookery Practice),Technological University Dublin,236,,236
1212,TU644,Food Management and Entrepreneurship,Technological University Dublin,223,,223
1213,TU645,Food Science and Management,Technological University Dublin,241,,243
1214,TU651,Applied Biology,Technological University Dublin,205,196,196
1215,TU652,Computing,Technological University Dublin,194,,194
1216,TU653,Computing (Information Technology),Technological University Dublin,245,,245
1217,TU654,Pharmacy Technician Studies,Technological University Dublin,321,,321
1218,TU655,Computing (Networking Technologies) Learn and Work,Technological University Dublin,410,335,335
1219,TU671,Business,Technological University Dublin,226,,228
1220,TU672,Business (Common entry),Technological University Dublin,180,179,179
1221,TU673,Business Management,Technological University Dublin,300,,300
1222,TU674,Business Studies,Technological University Dublin,300,,306
1223,TU675,Marketing,Technological University Dublin,301,,301
1224,TU676,Retail Management and Marketing,Technological University Dublin,290,,290
1225,TU701,Automation Engineering,Technological University Dublin,260,,261
1226,TU702,Biomedical Design,Technological University Dublin,232,232,232
1227,TU703,Building Engineering,Technological University Dublin,260,,260
1228,TU704,Civil Engineering,Technological University Dublin,262,,262
1229,TU705,Electrical and Control Engineering,Technological University Dublin,243,,243
1230,TU706,Electrical Services Engineering,Technological University Dublin,244,,244
1231,TU707,Electronic Engineering,Technological University Dublin,224,224,224
1232,TU708,Engineering (Common Entry with Award options),Technological University Dublin,225,,225
1233,TU709,Engineering (General Entry),Technological University Dublin,370,,370
1234,TU710,Engineering Reliability Management,Technological University Dublin,244,,244
1235,TU711,Mechatronic Engineering,Technological University Dublin,223,,223
1236,TU712,Sustainable Energy and Environmental Engineering,Technological University Dublin,180,180,180
1237,TU713,Computer Engineering,Technological University Dublin,221,,221
1238,TU714,Electronics and Communications Engineering,Technological University Dublin,264,,264
1239,TU715,Engineering Software,Technological University Dublin,181,181,181
1240,TU716,Networking Technology,Technological University Dublin,241,,241
1241,TU717,Mechanical Engineering,Technological University Dublin,300,,300
1242,TU718,Mechanical Engineering,Technological University Dublin,198,198,198
1243,TU719,"Design,Technology and Innovation",Technological University Dublin,228,,228
1244,TU720,Automotive Management and Technology,Technological University Dublin,232,,232
1245,TU721,Aviation Technology,Technological University Dublin,350,,352
1246,TU722,Process Instrumentation and Automation Learn and Work,Technological University Dublin,292,292,401
1247,TU731,"Auctioneering, Valuation and Estate Agency",Technological University Dublin,290,,290
1248,TU732,Timber Product Technology,Technological University Dublin,253,198,198
1249,TU735,Sports Management and Coaching,Technological University Dublin,270,,270
1250,TU736,Sports Science and Health,Technological University Dublin,410,391,391
1251,TU741,Baking and Pastry Arts Management,Technological University Dublin,234,,238
1252,TU742,Culinary Arts,Technological University Dublin,155,155,155
1253,TU745,Hospitality Management,Technological University Dublin,245,,245
1254,TU746,International Hospitality and Tourism Management,Technological University Dublin,170,170,170
1255,TU747,Tourism Management,Technological University Dublin,242,,242
1256,TU751,Biosciences,Technological University Dublin,407,,407
1257,TU752,DNA and Forensic Analysis,Technological University Dublin,390,,390
1258,TU754,Industrial and Environmental Physics,Technological University Dublin,270,,270
1259,TU755,Science (General Entry),Technological University Dublin,361,,361
1260,TU756,Computing,Technological University Dublin,200,195,195
1261,TU757,Computing (Information Technology),Technological University Dublin,225,,225
1262,TU758,Digital Forensics and Cyber Security,Technological University Dublin,220,,220
1263,TU759,Information Technology Management,Technological University Dublin,211,,211
1264,TU760,Bioanalysis,Technological University Dublin,204,204,204
1265,TU761,Ophthalmic Dispensing,Technological University Dublin,302,,319
1266,TU762,Medicinal Chemistry and Pharmaceutical Sciences,Technological University Dublin,364,,364
1267,TU763,Pharmaceutical Science,Technological University Dublin,382,349,349
1268,TU771,Business,Technological University Dublin,224,,224
1269,TU772,Business (Common Entry with Award options),Technological University Dublin,AQA,227,AQA
1270,TU774,Management,Technological University Dublin,195,209,195
1271,TU775,Accounting and Finance,Technological University Dublin,260,,260
1272,TU776,Accounting and Finance,Technological University Dublin,182,175,175
1273,TU777,Business and Information Technology,Technological University Dublin,244,,244
1274,TU778,International Business,Technological University Dublin,224,,226
1275,TU779,International Business,Technological University Dublin,180,180,180
1276,TU780,Advertising and Marketing Communications,Technological University Dublin,179,179,179
1277,TU781,Digital Marketing,Technological University Dublin,220,,220
1278,TU782,Digital Marketing,Technological University Dublin,179,179,179
1279,TU783,Marketing,Technological University Dublin,189,189,189
1280,TU791,Applied Social Studies in Social Care,Technological University Dublin,320,,320
1281,TU792,Community and Youth Development,Technological University Dublin,101,250,101
1282,TU793,Early Childhood Care and Education,Technological University Dublin,220,,220
1283,TU794,Early Childhood Care and Education,Technological University Dublin,390,250,230
1284,TU795,Visual Merchandising and Display,Technological University Dublin,481,,481
1285,TU796,Creative Digital Media,Technological University Dublin,225,,225
1286,TU801,Biomedical Design,Technological University Dublin,235,,235
1287,TU802,Electrical Services and Energy Management,Technological University Dublin,317,300,300
1288,TU803,Electronic Engineering,Technological University Dublin,243,243,243
1289,TU804,Engineering (Common Entry with Award options),Technological University Dublin,271,,271
1290,TU805,Engineering (General Entry),Technological University Dublin,402,,402
1291,TU806,Sustainable Energy Engineering,Technological University Dublin,262,,262
1292,TU807,Computer Engineering in Mobile Systems,Technological University Dublin,276,,276
1293,TU808,Engineering Software,Technological University Dublin,260,260,260
1294,TU809,Mechanical Engineering,Technological University Dublin,235,,235
1295,TU810,Mechatronic Engineering,Technological University Dublin,270,,271
1296,TU811,Product Design,Technological University Dublin,411,,411
1297,TU812,"Design,Technology and Innovation",Technological University Dublin,270,,270
1298,TU813,Automation Engineering,Technological University Dublin,218,218,218
1299,TU814,Transport Operations and Technology,Technological University Dublin,285,251,251
1300,TU831,Architectural Technology,Technological University Dublin,410,,410
1301,TU832,Architecture (Suitability Test and Interview),Technological University Dublin,622,,622
1302,TU833,Construction Management,Technological University Dublin,367,,367
1303,TU834,Geographic Science,Technological University Dublin,288,,288
1304,TU835,Planning and Environmental Management,Technological University Dublin,313,,313
1305,TU836,Property Economics (Valuation Surveying),Technological University Dublin,401,,401
1306,TU837,Quantity Surveying and Construction Economics,Technological University Dublin,385,,385
1307,TU851,Analytical Chemistry (Environmental Forensic and Pharmaceutical),Technological University Dublin,349,,349
1308,TU852,Chemical Sciences with Medicinal Chemistry,Technological University Dublin,476,,476
1309,TU854,Science (General Entry),Technological University Dublin,476,,476
1310,TU855,Science with Nanotechnology,Technological University Dublin,331,319,319
1311,TU856,Computer Science,Technological University Dublin,476,,476
1312,TU857,Computer Science (Infrastructure),Technological University Dublin,391,,391
1313,TU858,Computer Science (International),Technological University Dublin,377,,377
1314,TU859,Computing,Technological University Dublin,217,234,217
1315,TU860,Computing (Information Technology),Technological University Dublin,260,,260
1316,TU861,Computing with Language (French/German/Spanish),Technological University Dublin,308,308,308
1317,TU862,Computing with Data Analytics,Technological University Dublin,226,226,226
1318,TU863,Digital Forensics and Cyber Security,Technological University Dublin,280,,280
1319,TU864,DNA and Forensic Analysis,Technological University Dublin,400,390,390
1320,TU865,Computing with IT Management,Technological University Dublin,226,,226
1321,TU866,Biomedical and Molecular Diagnostics,Technological University Dublin,487,,487
1322,TU867,Biomedical Science,Technological University Dublin,524,,524
1323,TU868,Clinical Measurement Science,Technological University Dublin,510,,510
1324,TU869,Environmental Health,Technological University Dublin,336,,336
1325,TU870,Human Nutrition and Dietetics,Technological University Dublin,578,,578
1326,TU871,Optometry,Technological University Dublin,509,,509
1327,TU872,Public Health Nutrition,Technological University Dublin,491,,491
1328,TU873,Industrial Mathematics,Technological University Dublin,250,250,250
1329,TU874,Mathematical Sciences,Technological University Dublin,341,,343
1330,TU875,Pharmaceutical Healthcare,Technological University Dublin,400,,400
1331,TU876,Pharmaceutical Science,Technological University Dublin,377,349,349
1332,TU877,Physics Technology,Technological University Dublin,308,,308
1333,TU878,Physics with Energy and Environment,Technological University Dublin,337,337,331
1334,TU879,Physics with Medical Physics and Bioengineering,Technological University Dublin,351,,351
1335,TU880,Physics with Data Science,Technological University Dublin,578,,
1336,TU881,Food Innovation,Technological University Dublin,318,,318
1337,TU882,Nutraceuticals in Health and Nutrition,Technological University Dublin,397,,397
1338,TU901,Business,Technological University Dublin,270,,270
1339,TU902,Business (Common Entry with Award options),Technological University Dublin,271,,271
1340,TU903,Business and Management,Technological University Dublin,463,,463
1341,TU904,Business and Law,Technological University Dublin,462,,462
1342,TU905,Economics and Finance,Technological University Dublin,465,,465
1343,TU906,Human Resource Management,Technological University Dublin,395,,395
1344,TU907,Logistics and Supply Chain Management,Technological University Dublin,300,,300
1345,TU908,Management,Technological University Dublin,262,253,253
1346,TU909,Accounting and Finance,Technological University Dublin,285,,285
1347,TU910,Accounting and Finance,Technological University Dublin,444,,444
1348,TU911,Accounting and Finance,Technological University Dublin,209,192,192
1349,TU912,Business Analytics,Technological University Dublin,330,,330
1350,TU913,Business and Information Technology,Technological University Dublin,252,,252
1351,TU914,Business Computing,Technological University Dublin,324,,324
1352,TU915,International Business,Technological University Dublin,252,,252
1353,TU916,International Business,Technological University Dublin,235,235,235
1354,TU917,Law (LLB ) with a Language,Technological University Dublin,342,,342
1355,TU918,Law (LLB),Technological University Dublin,451,,451
1356,TU919,Advertising and Marketing Communications,Technological University Dublin,228,226,226
1357,TU920,Digital Marketing,Technological University Dublin,270,,270
1358,TU921,Digital Marketing Technologies,Technological University Dublin,212,212,234
1359,TU922,Marketing,Technological University Dublin,418,,418
1360,TU923,Marketing Management,Technological University Dublin,228,276,228
1361,TU924,E-Commerce in Retailing,Technological University Dublin,307,,307
